t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
53.975929,0.07,0.28,-9.76,0.0,0.0,0.0,-16.68,37.37,39.25
53.999857,0.01,0.31,-9.8,0.0,0.0,0.0,-16.68,37.37,39.25
54.019908,0.04,0.3,-9.73,0.0,0.0,0.0,-17.06,38.18,38.87
54.043949,0.09,0.28,-9.89,0.0,0.0,0.0,-17.06,38.18,38.87
54.067936,0.11,0.28,-9.74,0.0,0.0,0.0,-17.06,38.18,38.87
54.087822,0.06,0.31,-9.78,0.0,0.0,0.0,-16.37,36.68,37.68
54.111965,0.07,0.31,-9.77,0.0,0.0,0.0,-16.37,36.68,37.68
54.131932,0.09,0.31,-9.76,0.0,0.0,0.0,-17.06,38.56,40.06
54.155918,0.05,0.27,-9.8,0.0,0.0,0.0,-17.06,38.56,40.06
54.179909,0.04,0.26,-9.77,0.0,0.0,0.0,-16.37,37.75,39.68
54.199952,0.06,0.26,-9.84,0.0,0.0,0.0,-16.37,37.75,39.68
54.223914,0.07,0.3,-9.78,0.0,0.0,0.0,-16.37,37.75,39.68
54.247915,0.02,0.32,-9.78,0.0,0.0,0.0,-16.0,38.56,39.68
54.26796,0.02,0.31,-9.78,0.0,0.0,0.0,-16.0,38.56,39.68
54.291914,0.08,0.27,-9.83,-0.01,0.0,0.0,-16.37,37.37,38.87
54.311955,-0.2,0.14,-9.82,-0.01,0.0,-0.06,-16.37,37.37,38.87
54.33595,0.03,-0.5,-9.83,0.01,0.01,-1.01,-16.37,37.37,38.87
54.359902,-0.42,-0.33,-9.63,0.0,-0.01,-0.29,-17.5,37.75,38.87
54.379944,0.1,-0.25,-9.74,-0.02,-0.02,-0.08,-17.5,37.75,38.87
54.403945,0.35,-1.55,-9.84,-0.09,-0.01,0.07,-17.5,37.06,40.5
54.427905,0.23,-3.73,-9.94,-0.05,-0.01,0.05,-17.5,37.06,40.5
54.44795,-0.05,-6.29,-9.84,0.0,0.01,-0.06,-17.5,37.06,40.5
54.471896,1.04,-4.21,-9.73,0.09,0.0,0.11,-17.06,37.37,38.87
54.491919,1.3,-1.6,-9.67,0.02,0.0,0.65,-17.06,37.37,38.87
54.51581,1.27,-2.1,-9.99,-0.06,-0.02,1.0,-16.68,37.06,39.25
54.539897,1.62,-0.18,-9.61,0.0,-0.02,1.14,-16.68,37.06,39.25
54.559896,1.56,-0.68,-9.99,0.02,-0.04,1.31,-16.68,37.06,39.25
54.58392,1.65,0.88,-9.81,-0.03,-0.03,1.44,-15.56,38.56,37.56
54.607856,1.62,0.83,-9.44,-0.01,-0.04,1.58,-15.56,38.56,37.56
54.627807,2.47,2.97,-9.43,0.07,0.01,0.88,-10.75,40.06,36.75
54.651942,2.89,3.21,-9.52,-0.02,0.0,1.07,-10.75,40.06,36.75
54.671901,2.81,3.37,-9.81,0.0,-0.01,0.97,-9.68,40.06,37.68
54.695968,1.71,3.6,-9.6,-0.06,-0.03,1.01,-9.68,40.06,37.68
54.71992,1.2,4.62,-9.72,0.04,0.0,0.73,-9.68,40.06,37.68
54.739911,0.88,4.7,-9.93,0.01,0.01,0.43,-8.56,41.87,37.56
