t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
257.031854,0.06,0.11,-9.78,0.0,0.0,0.0,-2.18,32.87,41.0
257.051923,0.03,0.06,-9.76,0.0,0.0,0.0,-1.0,33.18,40.5
257.075935,0.03,0.05,-9.74,0.0,0.0,0.0,-1.0,33.18,40.5
257.100012,0.08,0.03,-9.82,0.0,0.0,0.0,-2.18,32.87,41.68
257.119968,0.12,0.06,-9.78,0.0,0.0,0.0,-2.18,32.87,41.68
257.144071,0.08,0.11,-9.77,0.0,0.0,0.0,-2.18,32.87,41.68
257.167694,0.0,0.1,-9.76,0.0,0.0,0.0,-1.37,33.56,41.25
257.188021,0.01,0.11,-9.78,0.0,0.0,0.0,-1.37,33.56,41.25
257.212024,0.06,0.08,-9.76,0.0,0.0,0.0,-2.18,33.18,41.68
257.23604,0.06,0.08,-9.83,0.0,0.0,0.0,-2.18,33.18,41.68
257.260084,0.05,0.07,-9.78,0.0,0.0,0.0,-2.18,33.18,41.68
257.280061,0.06,0.07,-9.77,0.0,0.0,0.0,-1.0,33.56,40.06
257.304073,0.06,0.04,-9.83,0.0,0.0,0.0,-1.0,33.56,40.06
257.327952,0.05,0.11,-9.77,0.0,0.0,0.0,-2.18,32.87,41.25
257.348044,0.03,0.15,-9.81,0.0,0.0,0.0,-2.18,32.87,41.25
257.372043,0.04,0.07,-9.8,0.0,0.0,0.0,-2.18,32.87,41.25
257.392006,0.06,0.06,-9.8,0.0,0.0,0.0,-1.37,32.87,41.25
257.415868,0.07,0.06,-9.8,0.0,0.0,0.0,-1.37,32.87,41.25
257.439989,0.05,0.09,-9.8,0.0,0.0,0.0,-1.37,32.87,41.0
257.464178,-1.31,0.01,-9.4,0.08,0.13,-0.1,-2.18,33.56,41.0
257.484109,-0.85,-0.73,-10.17,-0.07,-0.15,-1.83,-2.5,32.87,41.25
257.508159,-0.37,-2.09,-9.71,-0.04,-0.04,-0.98,-2.5,32.87,41.25
257.53217,-1.39,-3.02,-9.8,-0.02,-0.03,-0.62,-2.5,32.87,41.25
257.55204,-2.04,-4.51,-9.72,0.01,-0.01,-0.14,-3.25,32.87,40.87
257.58803,-3.03,-6.23,-10.02,0.04,0.04,0.18,-3.25,32.87,40.87
257.608108,-4.12,-8.99,-9.88,0.01,0.02,0.56,-4.0,32.87,41.68
257.632116,-1.97,-5.65,-9.9,0.04,0.04,1.17,-4.0,32.87,41.68
257.656125,1.78,-4.86,-9.82,0.0,-0.01,1.33,-4.0,32.87,41.68
257.676136,2.12,-5.03,-10.26,-0.02,0.0,1.64,-3.56,32.87,39.25
257.700091,4.04,-4.04,-10.08,0.0,0.03,1.67,-3.56,32.87,39.25
257.724178,6.62,-2.0,-9.88,-0.03,0.01,1.71,-0.87,32.06,41.18
257.744081,7.48,-0.21,-10.89,0.01,0.06,1.89,-0.87,32.06,41.18
257.768117,8.44,3.14,-9.11,0.03,-0.02,1.62,-0.87,32.06,41.18
257.792101,8.88,5.77,-9.9,0.01,0.02,0.46,2.0,33.18,40.37
257.812145,7.78,8.94,-10.02,0.01,-0.02,-0.24,2.0,33.18,40.37
257.836102,6.66,12.94,-10.1,0.0,-0.02,-0.79,2.75,32.87,40.37
257.860162,7.37,12.58,-10.01,0.07,0.02,-2.44,2.75,32.87,40.37
257.880111,5.48,11.17,-9.77,-0.04,0.0,-2.27,2.75,32.87,40.37
257.904113,-3.84,0.98,-9.81,-0.07,0.06,-1.87,-4.68,35.5,38.0
257.928174,-4.28,-1.45,-9.52,0.0,0.0,-1.93,-4.68,35.5,38.0
257.948143,-4.97,-5.93,-9.42,0.18,-0.07,-1.62,-8.37,35.87,38.37
257.972119,-7.63,-11.13,-10.21,0.2,-0.04,-1.07,-8.37,35.87,38.37
257.996171,-8.89,-13.73,-9.9,0.0,-0.03,-0.93,-12.5,34.37,36.0
258.016017,-4.5,-9.24,-9.77,-0.15,0.01,0.74,-12.5,34.37,36.0
258.039972,-1.77,-9.49,-10.35,-0.13,0.0,0.86,-12.5,34.37,36.0
258.063984,2.83,-2.17,-9.27,-0.03,-0.02,0.89,-13.06,34.5,34.87
258.084022,-0.01,-7.82,-9.52,0.02,0.01,1.39,-13.06,34.5,34.87
258.107978,1.99,-6.41,-9.53,0.02,0.0,1.54,-11.25,34.75,36.87
258.132028,5.56,-2.27,-10.25,0.0,0.03,1.04,-11.25,34.75,36.87
258.151967,6.03,0.38,-9.44,0.01,0.01,1.08,-11.25,34.75,36.87
258.175919,6.37,1.09,-10.37,0.01,0.02,0.9,-9.06,35.56,35.68
258.200046,6.73,3.32,-9.27,0.07,0.0,0.89,-9.06,35.56,35.68
258.220026,7.38,4.68,-9.81,0.01,0.02,0.94,-9.75,36.25,35.25
258.244021,7.61,6.84,-10.56,0.04,0.04,0.1,-9.75,36.25,35.25
258.267965,5.68,7.2,-10.28,0.0,-0.02,-0.16,-9.75,36.25,35.25
258.287931,5.22,7.68,-10.02,0.0,0.01,-0.8,-10.56,38.18,32.87
258.311995,3.15,8.27,-10.46,0.02,0.02,-1.32,-10.56,38.18,32.87
258.335987,1.3,7.41,-10.14,0.01,0.0,-1.47,-16.87,40.37,24.68
258.355959,-1.0,6.79,-9.46,0.05,0.03,-1.42,-16.87,40.37,24.68
258.380018,-4.36,5.03,-10.0,0.01,0.02,-1.33,-16.87,40.37,24.68
258.404041,-7.01,2.83,-9.44,0.02,0.03,-1.17,-23.25,44.06,5.25
258.423981,-6.54,-0.72,-9.56,0.03,-0.09,-0.89,-23.25,44.06,5.25
258.448041,-1.32,-3.34,-9.69,-0.58,0.3,0.84,8.18,33.5,-19.68
258.472002,-1.12,-1.7,-11.26,-1.02,0.79,0.88,8.18,33.5,-19.68
258.49197,0.7,-2.33,-14.5,-0.05,-0.5,0.68,5.87,35.18,-17.18
258.516029,0.56,-2.72,-10.19,-0.46,-0.42,0.73,5.87,35.18,-17.18
258.539878,0.53,-1.99,-9.11,0.29,0.24,0.74,-0.56,38.75,-12.75
258.559869,0.75,-2.35,-9.85,0.0,0.0,0.99,-0.56,38.75,-12.75
258.583866,-0.67,-0.04,-9.55,-0.07,-0.05,0.77,-0.56,38.75,-12.75
258.607917,-0.77,0.12,-10.02,-0.1,-0.07,0.3,-1.68,40.56,-10.75
258.628079,0.01,0.12,-9.82,0.0,0.0,0.0,-1.68,40.56,-10.75
258.652032,0.06,0.13,-9.77,0.0,0.0,0.0,-0.18,40.18,-10.37
258.675866,0.1,0.15,-9.82,0.0,0.0,0.0,-0.18,40.18,-10.37
258.695892,0.03,0.12,-9.77,0.0,0.0,0.0,-0.18,40.18,-10.37
258.719868,0.01,0.09,-9.83,0.0,0.0,0.0,-0.56,40.18,-9.56
258.743985,0.04,0.11,-9.78,0.0,0.0,0.0,-0.56,40.18,-9.56
258.764024,0.08,0.09,-9.8,0.0,0.0,0.0,-0.56,40.18,-10.37
