timestamp,raw acceleration / x [m/s^2],raw acceleration / y [m/s^2],raw acceleration / z [m/s^2],rotation speed / x [rad/s],rotation speed / y [rad/s],rotation speed / z [rad/s],magnetic field strength / x [uT],magnetic field strength / y [uT],magnetic field strength / z [uT],quaternion (w),quaternion (x),quaternion (y),quaternion (z)
1749026,-0.09000000357627869,-0.019999999552965164,-0.03999999910593033,0.0,0.0011111111380159855,-0.0011111111380159855,-4.0625,-29.1875,22.375,0.026123046875,0.9903564453125,0.13580322265625,-0.009765625
1749046,-0.30000001192092896,-0.07999999821186066,-0.019999999552965164,0.0011111111380159855,-0.0011111111380159855,0.0,-4.0625,-29.1875,22.375,0.026123046875,0.9903564453125,0.13580322265625,-0.00982666015625
1749066,-0.1599999964237213,-0.12999999523162842,-0.17000000178813934,-0.0033333334140479565,0.0033333334140479565,0.0,-4.5,-29.5625,23.1875,0.02606201171875,0.9903564453125,0.13580322265625,-0.010009765625
1749086,-0.11999999731779099,0.009999999776482582,-0.07999999821186066,-0.002222222276031971,-0.0011111111380159855,0.0,-4.5,-29.5625,23.1875,0.02606201171875,0.9903564453125,0.13580322265625,-0.01007080078125
1749106,0.10000000149011612,0.019999999552965164,-0.03999999910593033,-0.0011111111380159855,-0.0011111111380159855,0.0,-4.5,-29.5625,23.1875,0.02606201171875,0.9903564453125,0.13580322265625,-0.0101318359375
1749126,0.029999999329447746,-0.07000000029802322,-0.05000000074505806,-0.0011111111380159855,0.004444444552063942,0.0,-4.875,-29.1875,22.375,0.02606201171875,0.9903564453125,0.13580322265625,-0.0101318359375
1749146,-0.029999999329447746,0.019999999552965164,-0.09000000357627869,0.0,-0.0011111111380159855,-0.002222222276031971,-4.875,-29.1875,22.375,0.02606201171875,0.9903564453125,0.13580322265625,-0.0101318359375
1749166,-0.1599999964237213,0.10999999940395355,-0.05999999865889549,0.0,0.0033333334140479565,0.002222222276031971,-4.875,-29.5625,22.0,0.02606201171875,0.9903564453125,0.13580322265625,-0.0101318359375
1749186,-0.029999999329447746,-0.07999999821186066,-0.029999999329447746,0.0,0.0033333334140479565,0.0011111111380159855,-4.875,-29.5625,22.0,0.02606201171875,0.9903564453125,0.13580322265625,-0.0101318359375
1749206,-0.15000000596046448,-0.20999999344348907,0.0,-0.0011111111380159855,0.0,-0.002222222276031971,-4.875,-29.5625,22.0,0.0260009765625,0.9903564453125,0.13580322265625,-0.01019287109375
1749226,-0.23999999463558197,-0.009999999776482582,-0.05000000074505806,0.0,0.0,-0.013333333656191826,-5.1875,-30.25,22.75,0.0260009765625,0.99029541015625,0.135986328125,-0.01031494140625
1749246,-0.20000000298023224,0.0,-0.10000000149011612,-0.0011111111380159855,0.0,0.0033333334140479565,-5.1875,-30.25,22.75,0.0260009765625,0.99029541015625,0.13604736328125,-0.0103759765625
1749266,-0.09000000357627869,-0.009999999776482582,-0.019999999552965164,0.0,-0.002222222276031971,0.0,-4.875,-30.0,23.1875,0.0260009765625,0.99029541015625,0.13604736328125,-0.010498046875
1749286,0.03999999910593033,-0.029999999329447746,-0.09000000357627869,-0.002222222276031971,0.002222222276031971,0.0,-4.875,-30.0,23.1875,0.0260009765625,0.99029541015625,0.13604736328125,-0.010498046875
1749306,0.03999999910593033,-0.05999999865889549,-0.009999999776482582,0.002222222276031971,0.0,0.0,-4.875,-30.0,23.1875,0.0260009765625,0.99029541015625,0.13604736328125,-0.010498046875
1749326,0.0,0.029999999329447746,-0.05999999865889549,-0.0011111111380159855,0.0,0.0011111111380159855,-4.0625,-30.25,22.0,0.0260009765625,0.99029541015625,0.13604736328125,-0.010498046875
1749346,-0.07999999821186066,0.12999999523162842,-0.10999999940395355,0.0,0.0,0.0,-4.0625,-30.25,22.0,0.0260009765625,0.99029541015625,0.13604736328125,-0.010498046875
1749366,-0.03999999910593033,-0.05000000074505806,-0.029999999329447746,0.0,0.0,0.0,-4.875,-29.1875,22.75,0.02606201171875,0.99029541015625,0.13604736328125,-0.010498046875
1749386,0.10999999940395355,-0.11999999731779099,0.0,0.0,0.0,0.0,-4.875,-29.1875,22.75,0.0260009765625,0.99029541015625,0.13604736328125,-0.010498046875
1749406,0.5699999928474426,0.4300000071525574,-0.07000000029802322,0.0,0.0,-0.13111111521720886,-4.875,-29.1875,22.75,0.0260009765625,0.99017333984375,0.1368408203125,-0.01055908203125
1749426,0.4099999964237213,0.4699999988079071,-0.10999999940395355,-0.0033333334140479565,0.0,-0.10000000149011612,-4.5,-30.0,22.0,0.0260009765625,0.989990234375,0.13812255859375,-0.01055908203125
1749446,0.8500000238418579,0.47999998927116394,-0.029999999329447746,0.0,0.0,0.03333333507180214,-4.5,-30.0,22.0,0.0260009765625,0.99005126953125,0.1380615234375,-0.01055908203125
1749466,0.33000001311302185,0.6100000143051147,-0.05999999865889549,0.007777777966111898,0.0011111111380159855,0.017777778208255768,-4.5,-29.1875,22.375,0.026611328125,0.99005126953125,0.1376953125,-0.00982666015625
1749486,0.27000001072883606,0.699999988079071,-0.03999999910593033,0.021111110225319862,-0.0011111111380159855,0.006666666828095913,-4.5,-29.1875,22.375,0.02703857421875,0.99005126953125,0.13763427734375,-0.00927734375
1749506,-0.11999999731779099,1.309999942779541,-0.09000000357627869,-0.004444444552063942,0.004444444552063942,0.08444444090127945,-4.5,-29.1875,22.375,0.0269775390625,0.99017333984375,0.13702392578125,-0.00921630859375
