t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z
30.779639,-0.2,0.28,-9.9,0.002075,-0.567749,0.822937,0.019714
30.802202,-0.18,0.31,-9.9,0.002075,-0.567749,0.822937,0.019653
30.825733,-0.19,0.27,-9.86,0.002075,-0.567749,0.822937,0.019653
30.847211,-0.19,0.27,-10.0,0.002075,-0.567749,0.822937,0.019653
30.869648,-0.19,0.39,-9.99,0.002014,-0.567749,0.822937,0.019653
30.892212,0.25,0.28,-9.88,0.001953,-0.567749,0.822937,0.019592
30.914552,-0.08,0.24,-9.83,0.001892,-0.567139,0.823364,0.019592
30.93711,1.32,-0.32,-9.91,0.001892,-0.566223,0.824036,0.019592
30.959625,1.41,-0.3,-9.76,0.001831,-0.563904,0.825623,0.019592
30.98216,3.6,-0.91,-10.14,0.001709,-0.558105,0.829529,0.019592
31.004626,2.11,0.69,-10.18,0.001404,-0.548096,0.836182,0.019409
31.02703,3.21,0.48,-9.76,0.001038,-0.539673,0.841675,0.019348
31.049726,1.51,1.03,-9.78,0.000916,-0.536316,0.84375,0.019287
31.072316,0.04,1.02,-10.11,0.000793,-0.536072,0.843933,0.019409
31.094774,2.93,-1.61,-9.76,0.00116,-0.540405,0.841187,0.019226
31.117133,-2.25,-0.16,-10.28,0.001892,-0.527039,0.849609,0.019287
31.139759,-4.96,0.83,-9.5,0.003052,-0.535706,0.844177,0.019836
31.162236,-2.72,1.03,-9.77,0.00415,-0.535706,0.844177,0.020203
31.184664,-1.41,0.98,-9.73,0.004333,-0.537903,0.842773,0.020264
31.207356,-2.29,-0.79,-9.97,0.00415,-0.536682,0.843506,0.020447
31.229611,-1.56,0.34,-10.23,0.003784,-0.530823,0.847229,0.020691
31.252928,-2.59,0.32,-10.08,0.003235,-0.520874,0.853394,0.020447
31.275776,-2.1,0.65,-9.8,0.002197,-0.509888,0.859985,0.020142
31.297934,-2.79,0.78,-9.69,0.00116,-0.495117,0.868591,0.020386
31.321395,-1.8,-0.92,-10.74,0.000305,-0.482788,0.875427,0.021851
31.343149,-1.61,-1.28,-9.44,0.000244,0.472351,-0.881165,-0.022217
31.366704,-1.0,-1.06,-10.21,0.000488,0.468262,-0.883301,-0.022583
31.387895,-1.23,-0.81,-10.11,0.000793,0.457336,-0.888977,-0.023315
31.40984,-1.22,-1.37,-9.94,0.00116,0.450317,-0.892578,-0.023438
31.43207,-0.01,-2.34,-10.13,0.001282,0.446167,-0.894653,-0.023132
31.454736,1.57,-2.7,-10.08,0.001465,0.434265,-0.900513,-0.023682
31.477083,0.89,-2.25,-9.76,0.001831,0.429382,-0.902832,-0.023743
31.499617,0.85,-2.04,-10.05,0.003418,0.414062,-0.909912,-0.023743
31.522648,-0.31,-2.12,-9.91,0.004028,0.405273,-0.913879,-0.023804
31.54471,1.07,-2.06,-9.75,0.004089,0.400879,-0.915833,-0.023926
31.567345,-0.74,-2.52,-10.09,0.004028,0.388306,-0.921204,-0.02356
31.589995,-0.13,-1.44,-9.71,0.003662,0.385071,-0.922607,-0.023376
31.613594,-0.81,-0.91,-9.92,0.004333,0.375061,-0.926697,-0.022461
31.646964,-1.72,-1.83,-9.3,0.003601,0.369934,-0.928833,-0.020752
31.669519,0.23,-0.74,-9.77,0.003479,0.368713,-0.929321,-0.020264
31.691736,-0.41,-0.78,-10.53,0.004089,0.362549,-0.931763,-0.019836
31.713471,-0.45,-0.17,-9.71,0.00415,0.361023,-0.932312,-0.019775
31.735786,-0.04,0.56,-10.11,0.004395,0.358032,-0.933472,-0.019592
31.758509,0.19,1.36,-10.07,0.004272,0.356506,-0.934082,-0.01947
31.780953,1.45,1.69,-9.77,0.004028,0.354919,-0.934692,-0.018982
31.803396,1.8,1.7,-10.08,0.004272,0.35321,-0.935364,-0.018799
31.826257,3.54,0.72,-9.92,0.004333,0.353699,-0.935181,-0.018921
31.848461,3.97,0.25,-9.97,0.004089,0.355652,-0.934387,-0.018799
31.870975,2.86,1.48,-9.8,0.003845,0.360779,-0.932434,-0.018677
31.893454,4.67,0.16,-10.1,0.003662,0.370117,-0.928772,-0.018494
31.91673,3.92,0.03,-9.88,0.003601,0.383301,-0.923462,-0.018494
31.939588,2.71,0.12,-9.64,0.003235,0.398254,-0.917114,-0.018494
31.961828,-0.84,1.49,-10.41,0.002808,0.413269,-0.9104,-0.01825
31.984376,-1.62,1.11,-9.16,0.00238,0.428284,-0.903442,-0.017944
32.006279,-3.96,1.27,-10.43,0.00238,0.440918,-0.8974,-0.018066
32.028362,-4.61,1.63,-11.06,0.002197,0.4505,-0.892578,-0.018188
32.051023,-4.04,1.45,-9.26,0.001892,0.458374,-0.88855,-0.018005
32.074105,-3.54,1.3,-9.84,0.001709,0.464417,-0.885437,-0.018066
19.791152,-0.53,0.14,-9.77,0.003967,0.349487,-0.936707,-0.021179
19.813714,-0.08,0.2,-9.89,0.004028,0.348022,-0.937256,-0.021301
19.835845,0.11,0.18,-9.93,0.003601,0.333862,-0.942383,-0.020447
19.857736,0.25,0.37,-9.83,0.002869,0.327759,-0.94458,-0.019836
19.880649,0.12,0.22,-10.05,0.003235,0.322998,-0.946167,-0.02002
19.901813,0.46,0.97,-9.73,0.002502,0.319153,-0.94751,-0.020203
19.924404,1.39,0.12,-9.88,0.00238,0.31897,-0.947571,-0.020569
19.94677,1.5,-0.54,-9.93,0.002258,0.320129,-0.947144,-0.02063
19.969702,1.52,-0.93,-9.93,0.002197,0.323425,-0.946045,-0.020752
19.993028,1.4,-2.08,-9.71,0.002136,0.329407,-0.94397,-0.020325
20.015206,1.66,-2.98,-10.27,0.00293,0.340027,-0.940186,-0.020264
20.03794,1.52,-4.37,-9.81,0.00238,0.355957,-0.934265,-0.020264
20.060492,1.34,-5.18,-9.96,0.002319,0.373413,-0.92749,-0.019714
20.093368,-0.31,-4.12,-10.28,0.002197,0.390198,-0.920532,-0.01947
20.115828,-0.62,-4.01,-9.84,0.001648,0.406799,-0.91333,-0.019043
20.137963,-1.34,-3.65,-9.65,0.001038,0.422852,-0.906006,-0.018372
20.160616,-2.76,-2.86,-8.88,0.000244,-0.438477,0.898621,0.016785
20.183254,-3.67,-1.64,-9.44,0.000977,-0.454224,0.890747,0.016785
20.206824,-4.38,-0.88,-10.45,0.001709,-0.47052,0.882263,0.017151
20.22819,-6.01,1.14,-10.52,0.002625,-0.484253,0.874756,0.017151
20.250702,-6.87,2.33,-9.74,0.00354,-0.496582,0.867859,0.016968
20.273399,-5.6,5.88,-9.34,0.005005,-0.529114,0.848389,0.016663
20.295755,-2.66,6.82,-10.38,0.005554,-0.530884,0.847229,0.017029
20.317893,-0.28,7.0,-10.23,0.008545,-0.528503,0.848755,0.016052
20.340785,0.75,6.6,-9.06,0.012939,-0.520691,0.853516,0.01355
20.36314,1.44,5.52,-8.94,0.012634,-0.511353,0.859192,0.013672
20.385493,7.02,3.47,-13.83,0.005493,-0.50769,0.861328,0.017151
20.408056,4.38,4.11,-10.23,0.004272,-0.501587,0.864929,0.017517
20.430701,4.95,3.95,-10.02,0.003906,-0.49353,0.869568,0.017639
20.453232,5.85,-2.42,-10.02,0.002136,-0.485229,0.874146,0.021729
20.475847,4.42,-4.26,-10.19,0.000549,0.467712,-0.883545,-0.024719
20.498026,1.02,-4.95,-10.0,0.002075,0.447205,-0.894104,-0.024048
20.520749,-0.56,-3.69,-10.03,0.002869,0.429626,-0.902771,-0.021362
20.543199,-2.25,-8.73,-10.32,0.00293,0.412537,-0.910706,-0.020264
20.565791,-5.23,-2.25,-9.61,0.002686,0.387329,-0.921753,-0.0177
20.588206,-4.41,-3.66,-9.27,0.002563,0.387756,-0.92157,-0.017212
20.610902,-2.69,-5.24,-9.85,0.002869,0.403259,-0.914856,-0.019409
20.633301,-0.56,-8.17,-10.31,0.002991,0.417175,-0.908569,-0.021179
20.655953,0.25,-5.56,-9.61,0.001038,0.420166,-0.907227,-0.021118
20.678003,-0.7,-3.85,-9.74,0.0,-0.423828,0.905518,0.019897
20.700934,-2.65,-2.1,-10.42,0.001282,-0.429443,0.902954,0.017395
20.723245,-0.98,-1.91,-10.28,0.002014,-0.44165,0.897034,0.016846
20.745798,-1.94,-0.78,-10.23,0.002747,-0.45459,0.890564,0.016785
20.768323,-0.09,-0.02,-9.73,0.00354,-0.466248,0.88446,0.016846
20.790593,1.7,-0.1,-10.36,0.003723,-0.473694,0.880493,0.017029
20.813122,3.69,2.63,-9.49,0.004028,-0.497498,0.86731,0.016846
20.8366,4.71,2.42,-10.0,0.004272,-0.505249,0.862793,0.016724
20.858881,2.13,3.21,-10.14,0.0047,-0.508789,0.860718,0.017029
20.881747,0.81,3.96,-9.31,0.005005,-0.513184,0.858093,0.016907
20.903261,0.8,3.67,-10.47,0.005432,-0.51825,0.855042,0.017212
20.925972,6.11,6.71,-0.33,0.005676,-0.524475,0.851257,0.015198
20.948225,3.26,3.48,-9.18,0.005188,-0.524902,0.851135,0.003662
20.970922,0.69,2.2,-11.72,0.00061,-0.524109,0.851685,-0.000183
20.993659,-2.24,4.01,-3.84,0.00238,-0.515625,0.856812,-0.001221
21.015954,-4.84,2.95,-12.08,0.004761,-0.508972,0.860657,0.014343
21.037909,-6.73,1.67,-8.88,0.008484,-0.499023,0.866272,0.021057
21.061563,-4.83,0.55,-9.99,0.008484,-0.493347,0.869507,0.022461
21.08442,-3.5,0.18,-10.18,0.007751,-0.490601,0.871033,0.023438
21.105865,-3.15,-1.0,-9.72,0.007751,-0.48645,0.873413,0.022461
21.128392,-2.31,-1.63,-9.59,0.007629,-0.48291,0.875366,0.021973
21.150784,-0.95,-0.95,-9.5,0.007263,-0.481079,0.876343,0.022034
