t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z
21.532312,-0.11,0.13,-9.89,0.003601,0.160217,0.987061,0.007874
21.554942,-0.09,0.22,-9.89,0.003601,0.160156,0.987061,0.007874
21.578148,-0.33,0.21,-9.9,0.003662,0.159363,0.987183,0.007812
21.598316,-0.18,0.2,-9.9,0.003662,0.157776,0.987427,0.007629
21.620598,-0.21,0.15,-10.11,0.003723,0.156372,0.987671,0.007568
21.644013,-0.24,0.13,-9.61,0.003784,0.15509,0.987854,0.007568
21.666802,-0.02,0.09,-9.83,0.003845,0.153809,0.988037,0.007507
21.689281,-0.16,0.16,-9.88,0.004944,0.153748,0.988098,0.00769
21.71192,1.95,-0.69,-10.05,0.006409,0.153687,0.988098,0.007263
21.734254,-3.13,-3.33,-6.43,0.01886,0.136108,0.990295,-0.020081
21.756873,-4.84,-5.77,-9.75,0.014832,0.115112,0.993164,-0.013184
21.780286,-5.25,-2.69,-10.11,0.009705,0.085571,0.996277,-0.004578
21.801525,-4.8,-0.01,-10.05,0.007141,0.070007,0.997498,-0.000549
21.82504,-4.43,6.1,-9.38,0.007141,0.035706,0.999329,0.00177
21.846535,-2.63,5.57,-9.99,0.007507,0.018494,0.999817,0.003906
21.869159,-0.49,5.6,-9.98,0.00708,0.010681,0.999878,0.005005
21.891748,-2.27,4.66,-10.14,0.006104,-0.004395,0.999939,0.00531
21.925371,0.46,6.13,-9.86,0.006592,-0.008057,0.999939,0.004272
21.948016,0.86,8.46,-10.17,0.007507,-0.009338,0.999939,0.00415
21.970415,1.91,9.93,-10.16,0.007751,-0.001831,0.999939,0.004456
21.992964,5.72,5.98,-9.88,0.007996,0.001038,0.999939,0.004395
22.015628,6.45,6.4,-10.26,0.008362,0.002136,0.999939,0.004333
22.038019,7.3,1.17,-10.29,0.008362,0.00592,0.999939,0.004761
22.06046,4.59,-7.9,-10.14,0.007751,0.01825,0.999756,0.006531
22.094219,0.4,-12.37,-9.93,0.006653,0.043945,0.998962,0.007629
22.116565,-1.08,-1.36,-10.82,0.007874,0.080688,0.996704,0.00531
22.139195,-1.88,-4.28,-9.69,0.006897,0.103333,0.994629,0.000244
22.161835,-4.49,-5.75,-8.77,0.007324,0.095642,0.995361,-0.001099
22.184323,-4.83,-1.52,-9.78,0.006653,0.087219,0.996155,0.000183
22.206749,-3.23,4.59,-10.49,0.00531,0.078064,0.996948,0.004211
22.229294,-4.2,4.05,-9.89,0.005737,0.08252,0.996582,0.003418
22.25195,-2.45,2.29,-9.41,0.005981,0.087585,0.996155,0.003784
22.27465,0.14,-6.88,-9.92,0.006042,0.094299,0.995544,0.004822
22.29653,0.48,-6.17,-10.17,0.006042,0.094177,0.995544,0.005371
22.319234,1.29,-4.76,-9.94,0.006409,0.078735,0.996887,0.00531
22.34163,3.03,-2.18,-9.75,0.006592,0.05957,0.998169,0.005066
22.364285,2.83,-2.37,-10.06,0.006897,0.046814,0.99884,0.00531
22.386679,4.96,-6.43,-10.02,0.007141,0.043457,0.999023,0.005249
22.40926,5.44,-5.62,-10.22,0.007446,0.042908,0.999023,0.005066
22.431839,3.66,-0.09,-10.37,0.007507,0.044006,0.999023,0.004211
22.45418,1.88,7.66,-9.09,0.007324,0.049377,0.998718,0.003601
22.47663,1.72,3.59,-10.5,0.007263,0.040405,0.999146,0.003235
22.499249,-2.5,-5.19,-9.94,0.007446,0.022888,0.999695,0.004333
22.521471,-2.24,-3.7,-9.92,0.007507,0.009766,0.999939,0.004028
22.544451,1.1,5.52,-10.68,0.007812,0.001648,0.999939,0.002808
22.566671,1.01,12.94,-9.67,0.007751,-0.000977,0.999939,0.001404
22.589946,0.99,11.91,-9.94,0.007874,-0.002075,0.999939,0.003174
22.611937,-0.65,2.13,-10.06,0.007263,-0.008179,0.999939,0.004456
