t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z
71.224855,-0.35,0.1,-9.86,0.016113,0.890137,0.455017,-0.016968
71.247569,-0.35,0.12,-9.85,0.016113,0.890137,0.455017,-0.016968
71.270154,-0.37,0.12,-9.89,0.016174,0.890198,0.454956,-0.016907
71.290824,-0.38,0.16,-9.91,0.016357,0.890259,0.454895,-0.016846
71.313812,-0.34,0.13,-9.9,0.016357,0.89032,0.454773,-0.016785
71.336667,-0.37,0.09,-9.9,0.016418,0.89032,0.454773,-0.016724
71.359293,-0.33,0.12,-9.84,0.016479,0.89032,0.454773,-0.016602
71.381561,-0.38,0.13,-9.77,0.016479,0.890442,0.454529,-0.016235
71.404201,-5.44,-1.41,-9.6,0.016541,0.890625,0.454163,-0.01593
71.426521,-3.27,-0.17,-9.99,0.016235,0.890808,0.453735,-0.016174
71.449228,-1.96,0.25,-9.94,0.016174,0.88855,0.45813,-0.017212
71.471674,-1.66,0.95,-9.89,0.015503,0.871948,0.489014,-0.017761
71.494114,-2.29,1.8,-9.97,0.014648,0.867432,0.497009,-0.018494
71.516619,-2.42,2.35,-10.02,0.014526,0.865295,0.500732,-0.018616
71.539216,-3.29,2.48,-9.84,0.014648,0.86322,0.504211,-0.018555
71.561841,-1.05,1.55,-10.1,0.015076,0.861084,0.507874,-0.018555
71.584228,-1.38,2.74,-9.02,0.014832,0.856323,0.515808,-0.018921
71.606739,-0.92,2.48,-10.14,0.014282,0.849854,0.52655,-0.018738
71.628937,-1.58,3.23,-9.68,0.013733,0.84198,0.539001,-0.018799
71.651748,-1.15,2.59,-10.03,0.013611,0.834656,0.550293,-0.018799
71.674165,-0.5,3.42,-10.55,0.013489,0.828552,0.559448,-0.018982
71.69654,-0.93,3.12,-9.05,0.013245,0.82312,0.567444,-0.019348
71.719307,3.18,1.66,-10.52,0.013062,0.816345,0.577087,-0.019287
71.763892,4.3,1.92,-10.26,0.012634,0.808716,0.587708,-0.019531
71.7867,4.59,1.76,-10.3,0.012146,0.802612,0.596069,-0.019531
71.809081,4.21,0.82,-10.93,0.012268,0.800354,0.59906,-0.019836
71.831776,5.87,-1.23,-10.35,0.012085,0.80835,0.588196,-0.019775
71.854203,5.42,-1.94,-10.19,0.012573,0.815552,0.578247,-0.019226
71.876515,4.34,-1.49,-9.57,0.012817,0.825012,0.564636,-0.018982
71.899347,2.34,-4.0,-10.08,0.013367,0.835876,0.548462,-0.018127
71.921688,1.24,-3.85,-9.77,0.013794,0.846008,0.532715,-0.017456
71.943892,1.45,-4.0,-10.29,0.014587,0.855408,0.517517,-0.016357
71.966812,1.47,-4.22,-9.63,0.01532,0.864807,0.501587,-0.015686
71.989257,1.14,-4.75,-10.05,0.016052,0.874512,0.484497,-0.014893
72.011967,0.57,-5.01,-9.9,0.016663,0.883484,0.468018,-0.013855
72.03419,-1.73,-3.64,-9.74,0.016663,0.891602,0.452332,-0.013611
72.056635,-2.63,-3.42,-9.38,0.016663,0.898499,0.438477,-0.013245
72.079244,-3.22,-3.01,-9.55,0.017151,0.904785,0.425354,-0.013306
72.101732,-3.19,-2.04,-9.99,0.018005,0.912048,0.409424,-0.013
72.124525,-3.22,-1.3,-9.44,0.018066,0.921265,0.388367,-0.012756
72.146881,-3.41,-1.26,-9.88,0.01825,0.928711,0.370117,-0.01239
72.169358,-3.49,-1.31,-10.37,0.018677,0.933655,0.357483,-0.012085
72.192941,-3.07,-0.89,-9.82,0.018616,0.93689,0.348877,-0.011719
72.215089,-3.41,-0.26,-10.33,0.018677,0.938965,0.343323,-0.011597
72.237592,-3.74,1.81,-10.05,0.018555,0.940918,0.337891,-0.011658
72.260164,-3.6,2.54,-9.99,0.018555,0.942749,0.332764,-0.011475
72.283282,-2.9,1.93,-10.02,0.018494,0.943909,0.329468,-0.011414
72.304973,-2.9,2.57,-9.77,0.018738,0.94519,0.325745,-0.011536
72.32735,-4.42,2.65,-10.0,0.018799,0.945801,0.324097,-0.011353
72.350085,-4.73,3.53,-9.88,0.01886,0.944397,0.328003,-0.011475
72.371773,-3.49,2.8,-9.85,0.017822,0.925049,0.37915,-0.012756
72.394411,-2.86,3.23,-9.71,0.017578,0.919556,0.392273,-0.013489
72.416689,0.48,2.89,-9.9,0.017456,0.912231,0.409058,-0.013916
72.439332,1.86,2.41,-10.07,0.017273,0.904907,0.424988,-0.014526
72.461944,3.37,2.52,-9.43,0.016907,0.897156,0.441223,-0.014954
72.484252,4.42,2.45,-9.42,0.016174,0.889221,0.456909,-0.01532
72.50699,4.57,2.0,-11.25,0.01532,0.882568,0.469666,-0.015442
