t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z
37.382482,0.17,0.75,-9.99,0.022217,0.833191,-0.551697,-0.029968
37.404157,-1.26,-0.16,-9.74,0.022095,0.833862,-0.55072,-0.029968
37.426549,-1.5,-0.37,-9.86,0.022217,0.835083,-0.548828,-0.029907
37.44921,-0.69,0.08,-9.85,0.022217,0.8349,-0.549133,-0.029846
37.471668,-0.28,0.41,-9.84,0.022217,0.834839,-0.549255,-0.029846
37.494207,0.03,0.63,-9.77,0.022156,0.835388,-0.548401,-0.029785
37.517135,1.39,1.69,-10.02,0.022217,0.835449,-0.54834,-0.029846
37.538809,1.21,1.88,-9.83,0.022278,0.836548,-0.546631,-0.029846
37.561614,2.08,1.71,-10.07,0.022339,0.837585,-0.545044,-0.029846
37.584002,4.08,2.52,-9.94,0.022217,0.839417,-0.542236,-0.029846
37.606742,2.87,2.78,-9.91,0.02124,0.842346,-0.53772,-0.030151
37.629,3.21,2.9,-9.22,0.019653,0.847229,-0.529968,-0.031494
37.651565,-0.3,0.06,-9.42,0.020325,0.871033,-0.489807,-0.031006
37.674294,0.07,0.66,-9.93,0.020325,0.874878,-0.482971,-0.031067
37.696619,-0.39,0.63,-9.28,0.020203,0.878418,-0.476501,-0.031006
37.718865,-2.38,-1.53,-9.9,0.020142,0.881348,-0.471069,-0.031006
37.741701,-3.82,-3.31,-9.65,0.019897,0.885315,-0.463501,-0.031189
37.76412,-3.21,-2.39,-9.81,0.019775,0.890442,-0.453491,-0.031616
37.787589,-3.33,-3.14,-9.58,0.019348,0.894348,-0.445801,-0.03186
37.810104,-4.18,-3.32,-9.74,0.019165,0.896545,-0.441406,-0.031921
37.831682,1.55,-3.69,-10.19,0.019836,0.897339,-0.439758,-0.032532
37.854117,0.42,-3.02,-9.65,0.020142,0.896057,-0.442261,-0.032593
37.876637,0.23,-1.96,-9.86,0.020142,0.893433,-0.447571,-0.032532
37.89887,4.29,-2.46,-10.17,0.020264,0.891785,-0.450806,-0.032471
37.921639,2.02,0.18,-9.97,0.020386,0.889221,-0.455872,-0.032349
37.94404,2.25,-0.15,-9.48,0.02002,0.888489,-0.457275,-0.032104
37.967409,3.54,-1.54,-10.32,0.019836,0.890564,-0.453247,-0.032166
37.988868,3.17,-1.73,-9.19,0.019592,0.891785,-0.450928,-0.032043
38.01155,-2.16,1.33,-9.69,0.019653,0.889587,-0.4552,-0.031616
38.034109,-1.41,3.09,-10.31,0.019653,0.888245,-0.457886,-0.031616
38.057576,0.0,2.21,-9.84,0.018555,0.889771,-0.454895,-0.031738
38.079558,-3.76,3.96,-9.71,0.017761,0.891113,-0.452332,-0.032227
38.102449,-5.71,3.89,-10.11,0.018982,0.891235,-0.452026,-0.031616
38.125202,-6.87,2.46,-9.69,0.019531,0.892456,-0.449524,-0.031738
38.147569,-5.28,2.5,-9.57,0.019409,0.892578,-0.449402,-0.03186
38.16918,-6.33,0.77,-9.94,0.019104,0.89386,-0.446838,-0.031677
38.191455,1.23,-3.28,-9.91,0.018372,0.898499,-0.437439,-0.032166
38.214912,2.87,-1.82,-10.15,0.018677,0.892212,-0.450073,-0.032227
38.237454,3.01,-2.21,-10.02,0.019226,0.883545,-0.466919,-0.032043
38.259761,2.77,-3.09,-9.71,0.020081,0.875488,-0.481812,-0.031921
38.282252,3.61,-2.08,-9.84,0.020508,0.866577,-0.49762,-0.031555
38.305131,5.45,0.59,-9.86,0.020752,0.857117,-0.513733,-0.031311
38.327441,6.4,2.1,-10.07,0.021057,0.848145,-0.528503,-0.031006
38.35007,4.73,0.52,-10.08,0.021484,0.838135,-0.54425,-0.030518
38.372512,2.6,0.99,-9.94,0.022095,0.828552,-0.558655,-0.030212
38.395087,2.68,2.46,-10.16,0.022461,0.821167,-0.569458,-0.030029
38.417681,3.38,5.13,-9.13,0.022034,0.817566,-0.574646,-0.029846
38.441399,3.61,5.14,-9.75,0.02179,0.817871,-0.574219,-0.03009
38.464839,3.41,4.7,-10.19,0.021301,0.822144,-0.567993,-0.030579
38.486271,3.7,5.3,-9.85,0.020874,0.828003,-0.559448,-0.030151
38.507032,1.77,5.3,-9.44,0.020691,0.832886,-0.552307,-0.029724
38.529169,0.28,4.36,-9.61,0.020935,0.838196,-0.544189,-0.029663
38.552122,-0.94,3.18,-10.42,0.020996,0.845032,-0.533447,-0.029846
38.574189,-5.03,1.11,-9.55,0.020386,0.853271,-0.520203,-0.029968
38.596703,-8.09,-1.55,-9.53,0.020691,0.862366,-0.504883,-0.030334
38.618923,-7.33,-5.61,-10.35,0.019897,0.873779,-0.484924,-0.030884
38.643077,-3.41,-4.21,-9.99,0.019165,0.883545,-0.466858,-0.03125
38.664217,-0.67,-1.78,-9.97,0.018494,0.886902,-0.460449,-0.031433
38.68761,-0.47,-1.38,-9.89,0.018616,0.886475,-0.461304,-0.031494
38.70925,-0.67,-0.38,-9.77,0.018982,0.884277,-0.465454,-0.031555
38.731505,-0.31,0.4,-9.91,0.019348,0.880737,-0.472168,-0.031738
38.754309,-0.3,0.41,-9.85,0.019409,0.880188,-0.473145,-0.031921
38.778234,-0.62,-0.16,-9.89,0.019592,0.88031,-0.472961,-0.031982
