timestamp,raw acceleration / x [m/s^2],raw acceleration / y [m/s^2],raw acceleration / z [m/s^2],rotation speed / x [rad/s],rotation speed / y [rad/s],rotation speed / z [rad/s],magnetic field strength / x [uT],magnetic field strength / y [uT],magnetic field strength / z [uT],quaternion (w),quaternion (x),quaternion (y),quaternion (z)
1053003,-0.11999999731779099,0.0,-0.09000000357627869,-0.0011111111380159855,0.0,-0.002222222276031971,97.5,-45.0625,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053023,-0.05999999865889549,0.03999999910593033,-0.019999999552965164,-0.0011111111380159855,-0.0011111111380159855,0.0,97.5,-45.0625,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053043,-0.10000000149011612,0.029999999329447746,-0.44999998807907104,0.0,-0.0011111111380159855,0.0,97.5,-45.0625,22.1875,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053063,-0.14000000059604645,0.03999999910593033,-0.019999999552965164,0.0033333334140479565,-0.004444444552063942,0.0,97.5,-45.0625,22.1875,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053083,-0.1599999964237213,0.03999999910593033,-0.2199999988079071,0.0,-0.002222222276031971,0.0,97.5,-45.0625,22.1875,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053103,-0.1599999964237213,0.019999999552965164,-0.17000000178813934,0.0011111111380159855,0.0,-0.002222222276031971,97.5,-45.0625,21.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053123,-0.10999999940395355,-0.019999999552965164,-0.10999999940395355,0.0,0.0,0.0,97.5,-45.0625,21.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053143,-0.05999999865889549,0.0,-0.2199999988079071,-0.002222222276031971,0.0,0.0,97.875,-44.75,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053163,-0.14000000059604645,0.0,-0.07999999821186066,-0.0011111111380159855,0.0,-0.002222222276031971,97.875,-44.75,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053183,-0.11999999731779099,0.0,-0.17000000178813934,0.0,-0.002222222276031971,-0.0011111111380159855,97.875,-44.75,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053203,-0.10999999940395355,0.05000000074505806,-0.07999999821186066,0.0,0.0011111111380159855,0.0,97.5,-45.5,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053223,-0.09000000357627869,0.05999999865889549,-0.07000000029802322,0.0,-0.002222222276031971,-0.0011111111380159855,97.5,-45.5,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053243,-0.14000000059604645,0.009999999776482582,-0.15000000596046448,0.0,0.0,0.0,97.875,-44.0,20.1875,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053263,-0.14000000059604645,0.009999999776482582,-0.10000000149011612,0.0,0.0,0.0,97.875,-44.0,20.1875,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053283,-0.09000000357627869,0.0,-0.10999999940395355,0.0,0.0,0.0,97.875,-44.0,20.1875,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053303,-0.11999999731779099,0.019999999552965164,-0.09000000357627869,-0.0011111111380159855,0.0,-0.0011111111380159855,97.1875,-44.75,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053323,-0.11999999731779099,0.0,-0.05999999865889549,0.0,0.0011111111380159855,0.0,97.1875,-44.75,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053343,-0.11999999731779099,0.0,-0.07000000029802322,-0.0011111111380159855,0.0,0.0011111111380159855,97.875,-44.75,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053363,-0.11999999731779099,0.019999999552965164,-0.07000000029802322,0.0,0.0,0.0,97.875,-44.75,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053383,-0.10999999940395355,0.019999999552965164,-0.10999999940395355,-0.0011111111380159855,0.0,0.0,97.875,-44.75,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053403,-0.12999999523162842,0.029999999329447746,-0.10999999940395355,0.0,0.0011111111380159855,0.0,97.5,-44.75,21.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053423,-0.12999999523162842,0.009999999776482582,-0.05999999865889549,0.0,0.0,0.0011111111380159855,97.5,-44.75,21.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053443,-0.10999999940395355,0.009999999776482582,-0.09000000357627869,-0.0011111111380159855,0.0,-0.0011111111380159855,97.5,-45.875,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053463,-0.10999999940395355,0.0,-0.07000000029802322,-0.0011111111380159855,-0.0011111111380159855,0.002222222276031971,97.5,-45.875,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053483,-0.11999999731779099,0.0,-0.10000000149011612,0.0,0.0,0.0,97.5,-45.875,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053503,-0.11999999731779099,0.019999999552965164,-0.09000000357627869,0.0,0.0,-0.0011111111380159855,97.875,-44.375,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053523,-0.11999999731779099,0.019999999552965164,-0.15000000596046448,0.0,0.0011111111380159855,0.0,97.875,-44.375,20.5625,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053543,-0.10999999940395355,0.03999999910593033,-0.05999999865889549,-0.002222222276031971,0.0,0.0,97.5,-45.0625,19.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053563,-0.10999999940395355,0.03999999910593033,-0.09000000357627869,-0.002222222276031971,0.0,0.0,97.5,-45.0625,19.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053583,-0.11999999731779099,0.019999999552965164,-0.10999999940395355,0.0,-0.002222222276031971,0.0,97.5,-45.0625,19.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053603,-0.15000000596046448,0.0,-0.09000000357627869,-0.0011111111380159855,0.0011111111380159855,0.0,97.5,-45.0625,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053623,-0.10000000149011612,0.0,-0.10999999940395355,-0.0055555556900799274,0.0011111111380159855,0.0,97.5,-45.0625,21.0,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053643,-0.10999999940395355,0.009999999776482582,-0.07999999821186066,-0.0055555556900799274,0.0,0.0,97.5,-44.75,21.375,0.0106201171875,0.53302001953125,0.84576416015625,0.0213623046875
1053763,-0.3700000047683716,-0.25,-0.10999999940395355,-0.002222222276031971,0.0,-0.16777777671813965,97.875,-44.375,21.375,0.010986328125,0.5386962890625,0.84222412109375,0.01922607421875
1053783,-0.44999998807907104,-0.5600000023841858,-0.029999999329447746,0.004444444552063942,0.0055555556900799274,-0.17666666209697723,97.875,-44.375,21.375,0.0111083984375,0.53717041015625,0.84320068359375,0.01806640625
1053803,-0.12999999523162842,-0.8500000238418579,-0.09000000357627869,-0.0011111111380159855,0.0,-0.2477777749300003,98.25,-44.75,22.1875,0.01116943359375,0.53515625,0.844482421875,0.01690673828125
1053823,-0.2199999988079071,0.009999999776482582,-0.10999999940395355,-0.002222222276031971,-0.002222222276031971,-0.26555556058883667,98.25,-44.75,22.1875,0.01116943359375,0.53326416015625,0.845703125,0.016845703125
1053843,-0.07000000029802322,0.20000000298023224,-0.07000000029802322,0.014444444328546524,-0.0011111111380159855,-0.2222222238779068,99.0,-43.25,22.5625,0.01116943359375,0.53131103515625,0.846923828125,0.01678466796875
1053863,-1.399999976158142,-1.6100000143051147,0.019999999552965164,-0.0011111111380159855,-0.002222222276031971,-0.550000011920929,99.0,-43.25,22.5625,0.01123046875,0.5279541015625,0.8489990234375,0.01666259765625
1053883,-0.3799999952316284,-0.4399999976158142,-0.07000000029802322,0.0,-0.002222222276031971,-0.2777777910232544,99.0,-43.25,22.5625,0.01129150390625,0.52459716796875,0.85107421875,0.01666259765625
1053903,-0.6000000238418579,-0.9900000095367432,-0.07000000029802322,0.0033333334140479565,-0.0011111111380159855,-0.25333333015441895,99.75,-41.75,23.75,0.01129150390625,0.52264404296875,0.852294921875,0.0166015625
1053923,-0.33000001311302185,-0.12999999523162842,-0.05000000074505806,0.015555555932223797,0.0,-0.324444442987442,99.75,-41.75,23.75,0.01129150390625,0.5198974609375,0.85400390625,0.0164794921875
1053943,-0.6700000166893005,-0.4399999976158142,-0.07999999821186066,-0.008888889104127884,0.0,-0.4322222173213959,100.5,-40.5625,23.75,0.0113525390625,0.51666259765625,0.85595703125,0.01641845703125
1053963,-0.5600000023841858,-0.15000000596046448,-0.10000000149011612,0.0,-0.012222222052514553,-0.5822222232818604,100.5,-40.5625,23.75,0.01153564453125,0.51220703125,0.858642578125,0.016357421875
1053983,-0.18000000715255737,-0.5400000214576721,-0.05000000074505806,-0.006666666828095913,-0.0033333334140479565,-0.5444444417953491,100.5,-40.5625,23.75,0.0115966796875,0.5074462890625,0.8614501953125,0.01629638671875
1054003,-0.7599999904632568,-0.6600000262260437,-0.07999999821186066,0.006666666828095913,-0.007777777966111898,-0.6244444251060486,102.0,-38.75,25.375,0.01165771484375,0.50262451171875,0.86431884765625,0.01617431640625
1054023,-0.6100000143051147,0.10000000149011612,-0.20000000298023224,-0.004444444552063942,-0.0055555556900799274,-0.7022222280502319,102.0,-38.75,25.375,0.01177978515625,0.496337890625,0.86785888671875,0.01605224609375
1054043,-1.1299999952316284,0.3700000047683716,0.0,0.006666666828095913,-0.0033333334140479565,-0.6266666650772095,103.875,-35.75,25.5625,0.01177978515625,0.4912109375,0.87078857421875,0.015869140625
1054063,-0.6700000166893005,-0.4300000071525574,-0.019999999552965164,0.0055555556900799274,-0.006666666828095913,-0.7277777791023254,103.875,-35.75,25.5625,0.01202392578125,0.48492431640625,0.87432861328125,0.01580810546875
1054083,-0.6399999856948853,-0.5400000214576721,-0.05999999865889549,0.002222222276031971,0.0,-0.8566666841506958,103.875,-35.75,25.5625,0.0120849609375,0.4781494140625,0.8780517578125,0.01568603515625
1054103,-0.800000011920929,-0.7300000190734863,-0.09000000357627869,-0.004444444552063942,0.004444444552063942,-0.9288889169692993,106.0625,-33.5625,25.5625,0.01226806640625,0.47021484375,0.88232421875,0.01556396484375
1054123,0.03999999910593033,-0.07000000029802322,-0.09000000357627869,0.02777777798473835,0.014444444328546524,-1.1122221946716309,106.0625,-33.5625,25.5625,0.01226806640625,0.4610595703125,0.88714599609375,0.01531982421875
1054143,-0.9200000166893005,-0.019999999552965164,-0.20000000298023224,-0.017777778208255768,-0.007777777966111898,-1.0688889026641846,107.875,-30.25,25.5625,0.012451171875,0.4520263671875,0.89178466796875,0.0152587890625
1054163,-0.33000001311302185,0.3499999940395355,-0.07999999821186066,-0.0055555556900799274,0.0011111111380159855,-1.1822222471237183,107.875,-30.25,25.5625,0.01263427734375,0.44183349609375,0.8968505859375,0.01513671875
1054183,-0.47999998927116394,-0.5699999928474426,-0.03999999910593033,-0.03777777776122093,0.0055555556900799274,-0.9855555295944214,107.875,-30.25,25.5625,0.0128173828125,0.43280029296875,0.90130615234375,0.0152587890625
1054203,-0.7200000286102295,0.3199999928474426,-0.12999999523162842,-0.0011111111380159855,0.0,-1.0177778005599976,108.5625,-25.5,25.25,0.01300048828125,0.4241943359375,0.90533447265625,0.01513671875
1054223,-0.7099999785423279,-0.5099999904632568,-0.03999999910593033,0.0,0.0,-1.1888889074325562,108.5625,-25.5,25.25,0.013427734375,0.4139404296875,0.91009521484375,0.0146484375
