t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
315.743973,12.05,-0.78,2.41,1.17,0.85,0.28,-42.75,23.56,-7.56
315.767653,11.9,-0.08,3.48,1.22,0.73,0.32,-42.75,22.37,-11.18
315.787725,11.09,0.48,3.96,1.03,0.79,0.28,-42.75,22.37,-11.18
315.811805,7.33,0.49,3.59,0.28,-0.15,-0.08,-40.56,21.68,-15.56
315.831277,7.61,0.81,1.89,-0.23,0.09,-0.38,-40.56,21.68,-15.56
315.855629,7.73,1.66,0.81,-0.38,0.36,-0.62,-40.56,22.06,-17.5
315.879638,7.65,1.75,1.02,-0.25,0.16,-0.58,-40.56,22.06,-17.5
315.899717,6.77,1.53,1.67,-0.21,0.02,-0.51,-40.56,22.06,-17.5
315.923729,7.1,1.25,1.39,-0.36,-0.05,-0.68,-41.68,20.56,-18.0
315.947728,7.97,1.08,0.89,-0.34,-0.1,-0.63,-41.68,20.56,-18.0
315.967717,8.05,1.4,1.21,-0.17,-0.16,-0.41,-42.06,20.87,-16.37
315.99183,8.09,1.12,1.52,-0.12,-0.16,-0.27,-42.06,20.87,-16.37
316.01173,8.48,1.01,1.54,-0.16,-0.01,-0.16,-42.06,20.87,-16.37
316.035722,8.67,1.05,1.67,-0.11,0.0,-0.03,-42.5,19.37,-17.18
316.059728,8.76,1.06,1.83,-0.06,-0.03,0.03,-42.5,19.37,-17.18
316.07972,8.86,1.03,1.77,-0.06,-0.11,0.03,-42.5,18.68,-16.37
316.103827,9.08,0.42,1.31,-0.14,-0.08,-0.04,-42.5,18.68,-16.37
316.127725,9.11,0.38,1.53,-0.09,-0.03,-0.02,-42.5,18.68,-16.37
316.147717,8.97,0.02,1.81,-0.1,0.02,-0.02,-42.5,20.18,-16.0
316.171728,8.94,-0.03,2.18,-0.09,0.03,-0.06,-42.5,20.18,-16.0
316.191722,9.35,0.28,2.0,-0.1,0.03,-0.1,-42.5,20.18,-15.56
316.21572,9.44,0.61,1.93,-0.08,0.05,-0.07,-42.5,20.18,-15.56
316.239726,9.34,0.69,1.89,-0.04,0.07,-0.02,-42.5,20.18,-15.56
316.259709,8.97,1.63,2.84,-0.03,0.06,-0.04,-42.75,19.75,-15.18
316.28372,9.21,2.72,3.06,-0.14,0.09,-0.22,-42.75,19.75,-15.18
316.307732,10.07,6.62,4.03,-0.31,0.04,-0.38,-44.0,19.37,-14.75
316.32771,11.71,9.69,3.37,-0.73,0.13,-0.22,-44.0,19.37,-14.75
316.351734,9.75,8.3,2.02,-1.89,0.13,2.06,-42.75,20.56,-14.37
316.371732,8.97,5.95,2.44,-2.06,0.18,2.51,-42.75,20.56,-14.37
316.395718,6.71,1.73,2.54,-2.14,0.16,2.96,-42.75,20.56,-14.37
316.41972,5.23,-2.17,0.79,-2.3,0.15,2.97,-39.75,26.56,-13.18
316.439745,3.43,-7.9,-1.14,-1.94,0.02,2.75,-39.75,26.56,-13.18
316.463718,2.06,-11.97,-2.29,-1.55,-0.15,2.48,-36.06,32.06,-10.0
316.495731,0.59,-16.16,-2.31,-1.26,-0.3,1.83,-36.06,32.06,-10.0
316.519707,-0.12,-17.32,-1.58,-1.17,-0.1,0.68,-36.06,32.06,-10.0
316.543719,-0.53,-16.85,-1.89,-1.04,0.12,-0.52,-29.75,37.68,-7.18
316.563714,-0.13,-12.69,-0.65,-0.57,-0.09,-1.4,-29.75,37.68,-7.18
316.587721,0.67,-9.6,-0.73,-0.23,-0.28,-2.03,-27.56,36.68,-7.18
316.607727,0.86,-5.3,0.98,0.08,-0.53,-2.33,-27.56,36.68,-7.18
316.631724,0.51,-4.54,0.56,0.05,-0.73,-2.5,-27.56,36.68,-7.18
316.655722,0.05,-4.82,-0.36,0.19,-1.05,-2.64,-30.75,35.18,-8.0
316.675717,0.92,-3.81,-0.44,0.59,-1.46,-2.69,-30.75,35.18,-8.0
316.699712,3.02,-0.19,-0.72,0.51,-1.48,-2.9,-35.25,30.25,-4.75
316.723724,4.44,0.57,-2.56,0.37,-1.52,-2.85,-35.25,30.25,-4.75
316.743721,5.42,-0.17,-1.44,0.99,-2.07,-2.41,-35.25,30.25,-4.75
316.767724,7.73,1.22,-0.42,1.39,-2.57,-2.17,-40.56,24.25,-3.18
316.787715,20.07,3.81,-4.8,1.23,-2.45,-0.92,-43.18,20.18,1.18
316.811727,23.9,4.61,-8.23,0.62,-2.0,-1.14,-44.56,16.75,7.56
316.835716,26.93,5.62,-10.44,0.68,-1.45,-0.84,-44.56,16.75,7.56
316.855802,26.4,4.38,-9.94,0.86,-0.56,-0.44,-45.5,13.87,12.68
