t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
79.231155,7.86,5.09,-0.03,0.04,-0.04,0.07,-52.0,-10.0,-5.37
79.247651,8.14,5.09,-0.28,0.06,-0.06,0.04,-52.0,-10.0,-5.37
79.271748,7.97,5.43,-0.08,0.02,-0.02,-0.12,-52.0,-10.0,-5.37
79.295812,8.36,5.15,-0.49,-0.07,0.04,-0.19,-52.0,-9.56,-4.56
79.315868,8.22,5.42,-0.33,-0.01,0.01,-0.05,-52.0,-9.56,-4.56
79.339813,8.25,5.11,-0.31,0.03,-0.03,0.09,-52.0,-8.87,-5.75
79.363776,8.03,5.28,-0.24,0.05,-0.04,0.11,-52.0,-8.87,-5.75
79.383725,8.25,5.35,-0.31,0.02,-0.02,0.03,-52.0,-8.87,-5.75
79.407722,8.07,5.41,-0.28,-0.02,0.02,-0.02,-52.0,-9.18,-4.18
79.427726,8.15,5.01,-0.42,-0.01,0.03,-0.01,-52.0,-9.18,-4.18
79.451699,8.16,4.92,-0.38,0.05,0.0,0.06,-52.0,-10.37,-5.0
79.475719,7.96,5.33,-0.04,0.06,0.0,0.0,-52.0,-10.37,-5.0
79.495747,8.41,5.25,-0.4,0.0,0.0,-0.04,-52.0,-10.37,-5.0
79.519692,8.53,4.93,-0.46,0.05,0.02,0.04,-52.25,-9.56,-5.25
79.543854,8.18,4.97,0.13,0.07,0.05,0.05,-52.25,-9.56,-5.25
79.563716,8.61,3.83,-0.21,0.0,0.07,-0.07,-51.18,-10.37,-6.18
79.587675,9.06,3.49,-0.57,0.11,0.18,-0.15,-51.18,-10.37,-6.18
79.607744,8.78,8.19,-0.39,0.28,0.8,-1.34,-51.56,-10.37,-7.0
79.635177,9.47,9.27,-1.25,0.05,0.79,-1.21,-51.56,-10.37,-7.0
79.659506,9.21,10.92,-0.89,-0.01,0.73,-0.69,-51.56,-10.37,-7.0
79.675449,7.92,13.44,0.78,0.14,0.81,-0.05,-50.5,-12.87,-7.68
79.699598,7.26,13.09,0.92,-0.27,0.73,0.27,-50.5,-12.87,-7.68
79.723673,6.42,13.17,1.25,-0.55,0.59,0.68,-50.06,-14.37,-8.87
79.743502,5.39,11.62,1.61,-0.66,0.5,0.74,-50.06,-14.37,-8.87
79.767687,3.91,10.55,1.99,-0.79,0.32,1.12,-50.06,-14.37,-8.87
79.787583,3.55,9.72,1.63,-1.08,0.17,1.26,-50.0,-12.18,-10.06
79.811821,2.16,8.19,1.6,-1.43,0.17,1.17,-50.0,-12.18,-10.06
79.835833,1.62,7.77,1.46,-1.62,0.0,1.17,-49.56,-9.56,-13.68
79.855836,0.76,5.44,1.45,-1.72,-0.34,1.17,-49.56,-9.56,-13.68
79.879888,0.56,4.08,1.47,-1.73,-0.64,1.31,-49.56,-9.56,-13.68
79.903845,0.27,2.18,1.49,-1.73,-0.95,1.31,-50.37,-4.68,-11.68
79.92389,0.55,2.5,1.31,-1.75,-1.17,1.28,-50.37,-4.68,-11.68
79.94789,1.5,0.87,0.52,-1.88,-1.44,1.04,-49.56,-1.25,-11.25
79.967847,2.18,-1.0,-0.39,-1.87,-1.74,0.89,-49.56,-1.25,-11.25
79.991884,2.58,-2.31,-0.86,-1.74,-1.98,0.93,-49.56,-1.25,-11.25
80.015755,4.4,-6.11,-2.57,-1.54,-2.21,1.0,-50.37,3.56,-8.18
80.047843,4.59,-8.41,-3.24,-1.11,-2.41,1.16,-50.37,3.56,-8.18
80.071846,6.62,-10.06,-5.5,-0.79,-2.54,0.78,-51.18,5.37,-1.87
80.091826,8.47,-9.44,-6.35,-0.36,-2.44,0.24,-51.18,5.37,-1.87
80.115855,10.22,-11.76,-7.63,-0.03,-2.25,-0.17,-51.18,5.37,-1.87
80.139894,9.69,-11.33,-7.65,0.56,-1.9,-0.78,-50.75,7.68,4.0
80.159904,15.16,1.34,-10.21,2.97,-1.14,-2.3,-49.68,5.87,9.06
80.183897,16.04,4.87,-9.98,3.05,-0.59,-2.62,-50.06,3.68,12.75
80.207885,16.92,13.42,-8.69,3.03,0.05,-2.92,-50.06,3.68,12.75
80.22723,19.46,18.48,-10.01,2.93,0.51,-2.86,-50.5,-1.18,13.18
80.251818,17.68,19.76,-9.52,2.85,0.86,-1.38,-50.5,-1.18,13.18
80.271786,14.76,15.82,-8.5,2.32,1.06,0.0,-50.5,-1.18,13.18
80.295842,11.15,13.86,-6.67,1.9,1.41,-0.07,-51.5,-5.68,14.68
80.319853,10.74,15.91,-6.16,1.23,1.8,-0.75,-51.5,-5.68,14.68
80.339851,8.51,17.18,-4.15,0.6,2.01,-0.84,-52.18,-5.56,10.68
80.363881,5.76,16.14,-1.91,0.17,1.91,-0.22,-52.18,-5.56,10.68
80.387853,4.4,13.89,-1.3,-0.18,1.55,0.27,-52.18,-5.56,10.68
80.407888,3.44,11.43,-1.38,-0.51,1.08,0.45,-53.0,-5.18,6.56
80.4319,3.25,9.59,-1.93,-0.92,0.67,0.41,-53.0,-5.18,6.56
80.45196,3.51,7.5,-2.83,-1.25,0.51,0.15,-52.18,-5.06,4.25
80.475993,3.54,7.99,-2.6,-1.46,0.49,0.04,-52.18,-5.06,4.25
80.499996,3.43,7.57,-2.56,-1.77,0.41,0.05,-52.18,-5.06,4.25
80.519958,2.8,7.47,-2.0,-1.9,0.17,0.25,-52.56,-4.25,0.75
80.543842,2.86,5.95,-1.89,-2.07,-0.05,0.24,-52.56,-4.25,0.75
80.56795,2.57,4.91,-2.09,-2.14,-0.32,0.48,-51.5,-4.68,1.5
80.587952,2.31,3.85,-2.16,-2.38,-0.42,0.42,-51.5,-4.68,1.5
80.611971,2.89,-0.57,-2.85,-2.31,-1.43,0.68,-52.18,-1.68,1.37
80.631988,4.29,-2.4,-3.92,-2.19,-1.64,0.96,-52.18,-1.68,1.37
80.655985,3.6,-2.5,-3.31,-1.86,-1.69,0.96,-52.18,-1.68,1.37
80.679992,3.34,-4.0,-2.76,-2.07,-1.64,0.33,-50.68,0.06,5.37
80.699991,3.76,-5.25,-2.88,-1.75,-1.86,-0.06,-50.68,0.06,5.37
80.72391,5.38,-6.51,-5.36,-1.29,-2.24,-0.07,-49.18,0.87,10.5
80.747988,8.51,-6.68,-8.53,-0.74,-2.34,0.03,-49.18,0.87,10.5
80.767875,7.93,-7.12,-7.75,-0.25,-2.08,0.0,-49.18,0.87,10.5
80.791816,10.74,-8.88,-9.33,-0.01,-2.04,-0.59,-48.5,1.18,14.87
80.811876,12.56,-7.88,-10.46,0.67,-2.13,-0.8,-48.5,1.18,14.87
80.835564,13.93,-5.83,-11.37,1.29,-1.94,-0.9,-45.5,-1.0,18.75
80.867865,13.7,-4.38,-11.41,1.92,-1.59,-0.96,-45.5,-1.0,18.75
80.891903,14.64,-3.03,-12.21,2.45,-1.35,-0.98,-45.5,-1.0,18.75
80.915954,14.48,-2.47,-12.1,2.94,-1.07,-1.15,-42.87,-2.0,23.5
80.935806,13.5,0.15,-11.78,3.28,-0.76,-1.47,-42.87,-2.0,23.5
80.959897,12.53,2.42,-12.7,3.45,-0.46,-1.68,-41.75,-1.18,24.06
80.98385,12.07,3.16,-13.16,3.59,-0.14,-1.67,-41.75,-1.18,24.06
81.003854,10.53,5.31,-12.6,3.83,0.11,-1.74,-41.75,-1.18,24.06
81.027725,10.66,10.9,-12.06,3.63,0.62,-2.57,-40.25,-1.18,26.37
81.047898,4.94,9.82,-8.41,2.41,1.26,-1.17,-40.18,-3.5,29.25
81.071848,4.13,11.89,-8.05,1.81,1.38,-1.62,-42.5,-2.75,27.5
81.095872,2.49,10.38,-6.38,1.32,1.39,-1.7,-42.5,-2.75,27.5
81.115884,1.5,9.86,-5.09,1.12,1.19,-1.31,-44.06,-3.18,24.37
81.139991,1.78,9.9,-4.26,0.84,0.85,-1.12,-44.06,-3.18,24.37
