t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
97.227846,9.14,-1.0,-1.89,0.02,0.0,0.03,-44.0,24.25,8.68
97.271324,9.15,-1.19,-2.02,-0.01,-0.04,0.03,-43.56,25.0,7.87
97.295401,9.48,-1.09,-2.16,-0.01,-0.06,0.03,-43.56,25.0,7.87
97.315526,9.39,-1.12,-2.12,-0.01,-0.05,0.02,-44.0,24.25,7.06
97.339609,9.44,-1.15,-2.29,-0.03,0.0,-0.02,-44.0,24.25,7.06
97.36361,9.67,-1.32,-2.52,-0.06,0.01,-0.03,-44.0,24.25,7.06
97.383696,9.32,-1.3,-2.41,-0.02,-0.03,0.02,-44.37,24.25,6.0
97.40762,9.3,-1.24,-2.33,-0.03,-0.02,0.0,-44.37,24.25,6.0
97.427343,9.4,-1.31,-2.4,-0.02,-0.04,0.02,-44.0,25.0,7.87
97.451155,9.22,-1.44,-2.4,0.0,0.0,-0.03,-44.0,25.0,7.87
97.475614,9.17,-1.19,-2.24,0.0,-0.06,0.02,-43.56,24.25,8.25
97.495623,9.61,-1.24,-2.41,0.0,-0.06,0.0,-43.56,24.25,8.25
97.519616,9.51,-1.2,-2.39,0.0,0.0,-0.01,-43.56,24.25,8.25
97.543624,9.33,-1.07,-2.16,-0.01,0.03,-0.03,-44.0,24.56,8.68
97.563622,9.32,-1.41,-2.41,-0.03,0.06,-0.08,-44.0,24.56,8.68
97.587719,9.38,-1.26,-2.29,-0.02,0.04,-0.08,-44.37,24.56,6.68
97.607731,9.53,-1.13,-2.4,-0.02,-0.01,-0.03,-44.37,24.56,6.68
97.631729,9.44,-1.11,-2.37,0.0,-0.05,0.02,-44.37,24.56,6.68
97.656663,9.32,-1.03,-2.18,0.0,-0.07,0.06,-44.0,24.56,9.5
97.675647,9.19,-1.14,-2.29,-0.05,0.05,-0.08,-44.0,24.56,9.5
97.699728,9.22,-0.89,-2.15,-0.06,0.09,-0.16,-43.56,24.25,8.68
97.723738,9.0,-0.72,-2.02,-0.09,0.13,-0.26,-43.56,24.25,8.68
97.743617,8.9,-0.68,-1.9,-0.14,0.13,-0.31,-43.56,24.25,8.68
97.767647,8.86,-0.51,-1.81,-0.17,0.08,-0.27,-44.0,23.87,7.87
97.787697,8.61,-0.22,-1.65,-0.19,0.0,-0.21,-44.0,23.87,7.87
97.811723,8.51,0.17,-1.32,-0.25,0.03,-0.28,-44.0,23.18,6.68
97.835744,8.08,-0.31,-1.38,-0.38,0.17,-0.46,-44.0,23.18,6.68
97.856256,7.85,-1.08,-1.68,-0.45,0.11,-0.44,-44.0,23.18,6.68
97.879517,7.42,-1.74,-2.04,-0.48,-0.03,-0.34,-45.5,22.75,8.68
97.903622,7.63,-3.33,-3.18,-0.46,-0.26,-0.26,-45.5,22.75,8.68
97.923636,9.14,-5.77,-7.12,0.32,-0.3,-1.42,-45.75,20.18,9.5
97.947625,10.92,-5.79,-7.35,0.74,-0.24,-1.5,-45.75,20.18,9.5
97.96844,12.62,-3.74,-6.07,1.2,-0.29,-1.46,-46.18,18.68,11.06
98.003639,15.41,-2.36,-6.01,1.4,-0.17,-1.42,-46.18,18.68,11.06
98.027619,17.7,-0.9,-6.04,1.53,0.05,-1.28,-46.18,18.68,11.06
98.047731,17.37,0.48,-5.9,1.66,0.73,-1.65,-48.06,16.75,10.56
98.07162,18.35,3.06,-5.23,1.71,1.28,-1.84,-48.06,16.75,10.56
98.091674,20.25,6.19,-5.23,1.79,1.68,-1.79,-49.18,13.5,9.5
98.115722,20.14,7.64,-4.51,1.63,1.97,-1.11,-49.18,13.5,9.5
98.139752,18.42,9.85,-2.45,1.48,2.2,-0.49,-49.18,13.5,9.5
98.163133,16.88,10.9,-1.4,1.17,2.5,-0.1,-51.5,10.87,4.75
98.183383,14.96,11.69,-0.89,0.77,2.59,0.41,-51.5,10.87,4.75
98.20763,13.52,12.07,-0.37,0.39,2.56,0.94,-51.5,9.87,0.0
98.227615,10.9,11.43,-0.17,0.0,2.49,1.41,-51.5,9.87,0.0
98.251643,8.78,11.06,0.52,-0.32,2.36,1.74,-51.5,9.87,0.0
98.271644,7.3,10.3,0.56,-0.71,2.27,1.92,-49.87,12.25,-8.25
98.295613,5.27,9.25,0.99,-1.11,2.28,1.86,-49.87,12.25,-8.25
98.319654,3.98,7.98,0.84,-1.53,2.1,1.9,-46.87,15.68,-13.75
98.339641,3.04,6.1,0.43,-1.75,1.76,1.96,-46.87,15.68,-13.75
98.363714,-2.94,-0.59,0.97,-2.13,1.04,1.87,-38.0,26.56,-18.87
98.383606,-2.18,-0.62,1.21,-2.23,1.0,1.12,-38.0,26.56,-18.87
98.407661,-0.53,-2.47,-0.46,-2.32,0.76,0.86,-38.0,26.56,-18.87
98.431984,-1.47,-3.85,0.09,-2.17,0.43,0.92,-33.56,32.56,-16.87
98.45156,-2.41,-4.03,0.86,-2.01,0.22,0.61,-33.56,32.56,-16.87
98.475717,-1.46,-4.18,0.8,-2.08,0.03,0.1,-31.25,35.56,-13.5
98.499712,-0.38,-4.82,0.05,-2.13,-0.25,-0.14,-31.25,35.56,-13.5
98.519726,0.57,-5.05,-0.48,-1.98,-0.78,-0.04,-31.25,35.56,-13.5
98.54373,0.15,-6.02,-1.17,-1.88,-1.08,0.0,-30.56,37.18,-11.18
98.567836,0.55,-6.64,-1.97,-1.82,-0.9,-0.41,-30.56,37.18,-11.18
98.587739,1.14,-7.01,-2.72,-1.77,-0.78,-0.81,-31.0,38.25,-5.25
98.611733,3.1,-8.49,-4.51,-1.41,-1.1,-0.76,-31.0,38.25,-5.25
98.631768,3.07,-8.21,-4.38,-0.92,-1.77,-0.47,-31.0,38.25,-5.25
98.655725,3.35,-7.76,-4.93,-0.66,-2.04,-0.62,-32.06,36.87,-2.18
98.679785,3.95,-8.13,-6.51,-0.45,-1.91,-0.84,-32.06,36.87,-2.18
98.699604,2.68,-8.38,-6.09,-0.13,-1.87,-1.05,-34.25,36.5,3.37
98.723845,1.39,-8.36,-6.36,0.12,-2.4,-1.14,-34.25,36.5,3.37
98.747823,4.05,-7.17,-7.45,0.39,-2.64,-1.63,-34.25,36.5,3.37
98.767803,9.82,-5.16,-8.86,0.61,-2.28,-2.06,-34.56,35.0,6.06
98.791763,9.68,-6.91,-9.91,0.87,-2.4,-1.63,-34.56,35.0,6.06
98.811832,5.13,-7.99,-10.41,1.49,-2.93,-1.35,-37.56,30.87,10.87
98.835873,7.15,-6.15,-12.77,1.74,-2.78,-2.26,-37.56,30.87,10.87
98.859844,11.47,-4.68,-14.41,2.13,-2.32,-3.13,-37.56,30.87,10.87
98.879721,15.62,-0.24,-11.76,2.89,-2.06,-3.25,-38.75,29.06,14.75
98.903729,14.65,5.97,-6.0,3.05,-0.76,-2.62,-41.37,23.75,16.75
98.927854,15.14,6.61,-6.42,2.95,-0.46,-2.58,-43.37,20.06,16.25
98.947595,15.38,8.59,-4.83,2.86,0.12,-2.63,-43.37,20.06,16.25
98.971729,15.22,9.6,-3.42,2.53,0.46,-2.3,-45.0,17.06,16.25
98.99178,14.24,10.52,-1.62,2.07,0.62,-1.88,-45.0,17.06,16.25
99.02773,12.9,10.67,-0.54,1.44,0.78,-1.63,-45.0,17.06,16.25
99.04775,13.89,11.24,-0.31,0.97,0.59,-1.07,-47.25,14.06,13.06
99.072418,11.95,9.49,-1.74,0.31,0.26,-0.14,-47.25,14.06,13.06
99.095316,9.63,8.61,-2.34,-0.11,0.01,0.43,-48.0,11.75,10.68
99.115672,8.59,6.44,-4.51,-0.55,0.01,0.49,-48.0,11.75,10.68
99.139773,8.46,6.02,-5.08,-0.78,0.11,0.47,-48.0,11.75,10.68
99.163834,8.17,5.42,-5.22,-0.96,0.1,0.61,-48.37,11.75,11.5
99.183879,7.61,5.65,-4.29,-1.11,0.08,0.73,-48.37,11.75,11.5
99.207888,7.52,5.43,-3.59,-1.39,0.05,0.75,-48.06,12.37,10.68
99.23188,7.58,5.33,-3.41,-1.61,-0.08,0.96,-48.06,12.37,10.68
99.251876,7.42,5.7,-2.89,-1.78,-0.2,1.2,-48.06,12.37,10.68
99.275862,7.13,5.31,-3.1,-2.08,-0.21,1.27,-47.68,12.06,11.75
99.295848,7.38,5.08,-3.43,-2.36,-0.29,1.28,-47.68,12.06,11.75
99.319899,7.68,5.05,-4.29,-2.63,-0.45,1.53,-46.18,13.87,14.18
99.343849,8.11,5.22,-4.46,-2.91,-0.41,1.61,-46.18,13.87,14.18
99.363873,7.4,1.15,-8.72,-3.62,-0.52,1.86,-42.87,15.06,18.06
99.387887,7.83,-0.24,-9.65,-3.56,-0.32,1.72,-42.87,15.06,18.06
99.411849,7.56,-2.04,-9.94,-3.37,-0.09,1.55,-42.87,15.06,18.06
99.431512,7.03,-4.09,-10.45,-3.08,0.0,1.45,-40.25,15.37,21.0
99.455651,6.1,-5.47,-9.74,-2.62,0.1,1.11,-40.25,15.37,21.0
99.475751,6.19,-5.95,-9.08,-2.23,0.04,0.77,-38.75,15.37,22.56
99.499722,6.42,-6.54,-8.9,-1.88,-0.07,0.52,-38.75,15.37,22.56
99.523784,7.05,-7.03,-9.33,-1.52,-0.18,0.29,-38.75,15.37,22.56
99.543745,8.27,-6.79,-9.26,-1.06,-0.13,0.13,-35.75,15.06,24.5
99.567793,8.3,-6.19,-8.3,-0.64,-0.01,0.02,-35.75,15.06,24.5
99.587801,8.32,-5.41,-7.28,-0.28,-0.02,0.02,-35.06,13.75,26.5
99.611851,8.35,-4.09,-5.91,-0.01,0.03,-0.09,-35.06,13.75,26.5
99.635844,8.35,-3.35,-5.28,0.17,-0.03,-0.08,-35.06,13.75,26.5
99.655895,8.52,-2.13,-4.8,0.28,-0.11,-0.04,-35.0,14.56,25.25
99.679858,8.85,-1.63,-4.68,0.35,-0.08,-0.03,-35.0,14.56,25.25
99.703887,9.18,-1.15,-4.91,0.38,-0.07,-0.03,-35.0,14.18,25.0
99.723882,9.44,-0.71,-5.04,0.44,-0.11,0.07,-35.0,14.18,25.0
99.747892,9.18,-0.56,-5.15,0.49,-0.17,0.19,-35.0,14.18,25.0
99.767897,8.9,-0.27,-5.01,0.53,-0.22,0.26,-35.06,14.06,25.25
99.791882,8.81,-0.08,-4.97,0.55,-0.19,0.25,-35.06,14.06,25.25
99.815898,8.48,-0.28,-5.2,0.55,-0.21,0.2,-35.0,14.5,25.25
