t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
139.867452,9.75,-1.38,-0.17,0.05,0.2,-0.07,-46.5,23.0,-5.0
139.887144,10.06,-0.89,-0.9,0.12,0.18,0.11,-46.5,23.0,-5.0
139.911385,9.98,-0.69,-0.81,0.0,0.12,0.0,-47.25,21.18,-4.18
139.935356,9.93,-0.89,-0.49,-0.09,0.04,-0.12,-47.25,21.18,-4.18
139.95545,9.97,-0.79,-0.4,0.0,0.11,0.01,-46.87,21.87,-4.56
139.979496,9.39,-0.56,-0.78,0.1,0.18,0.19,-46.87,21.87,-4.56
139.999496,10.1,-0.45,-1.09,0.12,0.24,0.18,-46.87,21.87,-4.56
140.023492,9.65,0.06,-1.06,0.01,0.25,0.0,-45.75,22.25,-5.25
140.047508,9.63,-0.3,-0.83,-0.16,0.09,-0.22,-45.75,22.25,-5.25
140.06746,10.21,-0.83,-0.46,-0.16,0.07,-0.27,-46.87,21.87,-5.75
140.091494,9.61,-0.18,-0.17,-0.06,0.23,-0.19,-46.87,21.87,-5.75
140.115489,10.21,-0.88,0.19,0.01,0.18,-0.14,-46.87,21.87,-5.75
140.135418,9.48,0.31,-0.56,0.02,0.2,-0.02,-47.25,21.87,-6.18
140.159436,10.09,0.06,-0.64,-0.02,0.16,0.0,-47.25,21.87,-6.18
140.17949,9.75,0.47,-0.84,-0.05,0.22,0.07,-47.25,20.75,-6.5
140.203437,9.41,0.39,-0.38,-0.2,0.19,-0.03,-47.25,20.75,-6.5
140.227393,9.86,-0.59,-0.32,-0.22,0.3,-0.15,-47.25,20.75,-6.5
140.247368,9.77,-0.22,-0.16,-0.17,0.23,0.0,-47.25,21.5,-7.25
140.27136,9.57,-0.01,-0.04,-0.19,0.2,0.04,-47.25,21.5,-7.25
140.295386,9.6,-0.27,-0.12,-0.2,0.23,0.15,-46.5,21.18,-7.68
140.315486,9.66,-0.17,-0.21,-0.27,0.19,0.07,-46.5,21.18,-7.68
140.343026,9.53,-0.88,0.09,-0.36,0.17,-0.03,-47.25,21.5,-7.25
140.359409,9.31,-0.77,0.5,-0.29,0.23,0.01,-47.25,21.5,-7.25
140.395219,8.49,-1.52,1.04,-0.22,0.19,0.11,-47.25,21.5,-7.25
140.419336,8.27,-1.35,0.55,-0.13,0.08,0.16,-46.87,21.87,-7.25
140.43938,9.44,-1.49,-0.83,-0.25,0.07,0.03,-46.87,21.87,-7.25
140.463407,9.11,-2.64,-0.36,-0.43,0.25,-0.06,-45.75,22.25,-7.25
140.483346,8.24,-5.49,1.7,-0.22,0.58,0.18,-45.75,22.25,-7.25
140.507349,6.86,-6.36,2.7,0.11,0.65,0.64,-45.75,22.25,-7.25
140.531403,6.28,-9.82,3.81,0.4,0.26,0.62,-46.5,22.25,-8.18
140.551473,5.85,-11.03,3.97,1.02,0.0,0.59,-46.5,22.25,-8.18
140.575517,6.28,-10.36,3.05,1.3,-0.48,0.1,-46.5,23.37,-9.68
140.599501,7.69,-11.67,2.39,1.52,-0.8,-0.23,-46.5,23.37,-9.68
140.619475,9.11,-10.14,0.64,2.1,-0.74,-0.22,-46.5,23.37,-9.68
140.643502,10.15,-7.98,-1.25,2.42,-0.56,-0.3,-45.0,23.75,-9.25
140.663503,11.26,-5.63,-3.05,2.51,-0.47,-0.58,-45.0,23.75,-9.25
140.687471,11.86,-2.2,-5.03,2.27,-0.55,-1.02,-46.5,22.25,-10.5
140.71158,12.12,0.66,-5.51,2.39,-0.41,-1.33,-46.5,22.25,-10.5
140.73154,10.75,5.79,-5.41,2.28,-0.31,-1.08,-46.5,22.25,-10.5
140.755533,9.16,8.94,-3.45,0.96,0.11,-0.03,-50.56,15.5,-13.25
140.77938,8.76,7.63,-1.96,0.78,0.17,0.29,-50.56,15.5,-13.25
140.799433,9.31,6.5,-1.67,0.42,0.11,0.28,-50.56,14.0,-12.75
140.823442,8.4,4.96,-0.56,0.16,0.01,0.11,-50.56,14.0,-12.75
140.843445,8.19,4.38,-0.01,-0.08,-0.12,-0.09,-50.25,14.0,-14.0
140.867404,7.15,2.2,1.71,-0.09,0.0,0.08,-50.25,14.0,-14.0
140.891445,6.02,2.54,1.37,0.06,-0.08,0.22,-50.25,14.0,-14.0
140.911354,5.83,3.05,0.46,0.02,-0.25,0.29,-50.25,14.75,-14.37
140.935396,4.54,2.35,0.07,-0.19,-0.38,0.32,-50.25,14.75,-14.37
140.959437,3.39,1.25,1.14,-0.39,-0.61,0.1,-50.25,14.0,-14.0
140.979422,0.13,0.34,2.89,-0.26,-0.89,0.24,-50.25,14.0,-14.0
141.003383,0.13,0.63,3.88,0.11,-1.16,0.75,-50.25,14.0,-14.0
141.023437,0.99,0.64,2.21,0.3,-1.64,1.27,-49.87,15.18,-12.37
141.047542,3.4,0.45,-0.4,0.17,-2.17,1.31,-49.87,15.18,-12.37
141.071403,7.94,-1.41,-1.96,0.06,-2.22,1.05,-49.87,16.25,-10.0
141.091528,10.34,-2.4,-1.95,0.24,-2.14,0.91,-49.87,16.25,-10.0
141.115441,14.67,-3.96,-3.56,0.49,-2.12,0.93,-49.87,16.25,-10.0
141.135004,18.64,-2.36,-7.93,0.64,-2.01,0.45,-49.5,18.87,-4.06
141.159323,20.1,-1.15,-9.66,0.18,-1.91,-0.78,-49.5,18.87,-4.06
141.183321,19.12,2.85,-10.84,-0.11,-1.77,-1.52,-49.5,20.37,-0.5
141.20337,18.22,4.94,-11.21,-0.28,-1.12,-0.96,-49.5,20.37,-0.5
141.227434,17.66,5.74,-10.24,-0.41,-0.49,-0.2,-49.5,20.37,-0.5
141.251385,17.78,5.81,-10.31,-0.53,0.03,0.23,-51.75,18.87,3.75
141.271396,17.57,5.51,-10.18,-0.76,0.59,0.33,-51.75,18.87,3.75
141.295428,6.85,5.96,-7.84,-2.37,1.4,-0.41,-51.68,17.0,4.5
141.327428,3.52,5.47,-6.69,-2.54,1.74,0.7,-51.68,17.0,4.5
141.350698,2.4,3.95,-5.97,-2.71,1.78,1.38,-52.37,16.25,3.56
141.375142,0.85,1.22,-5.15,-2.99,1.6,1.66,-52.37,16.25,3.56
141.407258,0.54,-1.23,-4.09,-3.05,1.49,1.71,-52.37,16.25,3.56
141.43145,-0.04,-4.32,-2.56,-2.85,1.35,1.69,-51.25,17.75,0.06
141.451395,-0.67,-5.44,-1.64,-2.67,1.08,1.46,-51.25,17.75,0.06
141.475459,-2.33,-6.37,-0.15,-2.57,0.87,1.43,-47.5,21.18,0.87
141.499501,-2.14,-7.88,0.31,-2.25,0.07,1.38,-47.5,21.18,0.87
141.519485,-0.85,-10.19,-0.26,-2.09,-0.12,1.37,-47.5,21.18,0.87
141.543484,0.31,-12.77,0.32,-1.59,-0.59,0.98,-44.87,23.0,0.87
141.563536,-0.52,-12.26,0.71,-0.98,-0.91,0.74,-44.87,23.0,0.87
141.587528,1.34,-12.44,-0.34,-0.82,-1.3,0.57,-41.87,25.25,3.25
141.611528,3.13,-13.44,-1.88,-0.29,-2.12,0.5,-41.87,25.25,3.25
141.631424,4.87,-15.02,-2.18,-0.01,-2.07,0.58,-41.87,25.25,3.25
