,label,iteration,t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,nb_sign_changes_acceleration_x,nb_sign_changes_acceleration_y,nb_sign_changes_acceleration_z
123,4,11,52.947839567010305,9.650515463917525,0.3355670103092784,0.5018556701030927,-0.016597938144329895,-0.20247422680412372,-0.14237113402061857,-50.72144329896908,19.06618556701031,-7.067319587628866,0.0,3.0,3.0
124,4,12,66.90999642253522,7.927605633802817,2.88943661971831,-2.464788732394366,0.0980281690140845,-0.479718309859155,0.25591549295774646,-52.017183098591545,5.483098591549296,-3.465915492957746,2.0,12.0,5.0
125,4,13,73.1445243902439,8.280243902439025,3.059878048780488,-2.7908536585365855,0.08170731707317072,-0.36902439024390243,0.13853658536585367,-51.458536585365856,6.6000000000000005,2.4715853658536586,2.0,10.0,3.0
126,4,14,78.2495895180723,8.649759036144578,3.1027710843373497,-3.525542168674699,0.14710843373493976,-0.5690361445783132,0.12337349397590362,-50.33072289156626,6.840120481927711,3.2712048192771084,1.0,10.0,3.0
127,4,15,82.7308161764706,8.212,3.1036470588235296,-4.451294117647059,0.10423529411764705,-0.5818823529411765,0.174,-47.34,6.908705882352941,7.8248235294117645,4.0,8.0,5.0
128,4,16,87.3943186,8.342235294117648,3.4438823529411766,-3.3010588235294116,0.15870588235294117,-0.36611764705882355,0.0788235294117647,-48.44611764705883,1.8075294117647058,4.934705882352941,0.0,6.0,3.0
129,4,17,91.63252998913043,8.945760869565218,3.5397826086956523,-3.6592391304347824,0.2340217391304348,-0.3297826086956522,0.07380434782608696,-47.07152173913043,2.4715217391304347,6.689565217391305,0.0,6.0,7.0
130,4,18,96.11348314606742,8.322359550561798,3.6329213483146066,-2.486629213483146,0.19887640449438201,-0.4453932584269663,0.19247191011235953,-48.63943820224719,0.5886516853932584,0.4542696629213484,0.0,10.0,3.0
131,4,19,100.122891925,8.334375,3.5075000000000003,-1.987625,0.15912500000000002,-0.420875,0.13275,-50.149375,0.96675,-0.06787499999999999,0.0,8.0,5.0
132,4,2,18.068064482142855,9.487053571428572,0.23723214285714286,-0.10446428571428572,-0.044642857142857144,-0.1432142857142857,-0.07660714285714286,-45.05258928571429,16.73901785714286,-3.201517857142857,0.0,3.0,9.0
133,4,20,104.7426438181818,8.290340909090908,3.764886363636364,-1.9310227272727274,0.2852272727272727,-0.34909090909090906,0.03545454545454546,-49.970454545454544,-1.1497727272727272,0.2853409090909091,0.0,4.0,5.0
134,4,21,116.74891355737704,8.17967213114754,-0.5104918032786885,-3.019344262295082,0.0860655737704918,-0.41409836065573774,0.1780327868852459,-44.431311475409835,20.526393442622954,6.014426229508197,2.0,4.0,8.0
135,4,22,121.18772478666666,9.0452,-0.8469333333333334,-3.1384,-0.07013333333333333,-0.398,0.07599999999999998,-44.2384,19.25733333333333,4.165466666666667,2.0,13.0,7.0
136,4,23,125.27955771818182,8.69509090909091,-1.7332727272727273,-0.9898181818181819,-0.09718181818181817,-0.22863636363636367,0.07054545454545454,-41.51863636363637,23.397363636363636,-2.7754545454545454,4.0,6.0,6.0
137,4,24,129.747140859375,10.60671875,-3.15484375,-2.91515625,-0.031875,-0.4428125,0.07609375,-41.56015625,24.06125,-0.6204687499999999,4.0,2.0,3.0
138,4,25,133.6308112125,8.43425,-1.6824999999999999,-2.384,-0.004375000000000008,-0.40874999999999995,0.20975000000000002,-42.823375,21.415875,0.896125,6.0,12.0,5.0
139,4,26,137.6077286860465,8.571046511627907,-1.6736046511627907,-2.241395348837209,0.005813953488372101,-0.3669767441860465,0.2180232558139535,-42.25430232558139,22.291976744186044,1.2188372093023256,2.0,7.0,3.0
140,4,27,141.48273007070708,8.8089898989899,-0.91,-2.4544444444444444,-0.04121212121212122,-0.2598989898989899,0.1384848484848485,-44.135252525252525,18.873939393939395,1.4262626262626261,4.0,7.0,7.0
141,4,28,145.83845279487178,8.354871794871794,-0.5562820512820513,-2.5448717948717947,0.059102564102564106,-0.4101282051282051,0.14923076923076925,-44.543461538461536,18.16025641025641,0.5261538461538462,2.0,10.0,3.0
142,4,29,150.02500042857142,9.6175,-0.40476190476190466,-2.758452380952381,0.0963095238095238,-0.41785714285714287,0.17404761904761903,-45.18857142857143,17.971904761904764,-0.10309523809523806,4.0,11.0,7.0
143,4,3,21.830604127659573,9.639468085106383,0.21382978723404256,-0.3647872340425532,-0.07638297872340426,-0.10670212765957446,-0.03276595744680851,-46.075957446808516,17.726170212765958,-2.51031914893617,0.0,4.0,9.0
144,4,30,154.57539878846154,8.825576923076923,-0.6942307692307692,-4.674807692307692,-0.29346153846153844,-0.2913461538461538,0.007692307692307703,-40.14134615384615,22.372884615384613,6.260384615384615,2.0,3.0,2.0
145,4,4,25.802508239583332,9.840208333333333,0.4553125,0.15687500000000001,-0.053125,-0.06385416666666667,-0.13802083333333334,-47.487291666666664,17.355416666666667,-4.676041666666666,0.0,2.0,19.0
146,4,5,29.722493749999998,9.569673913043477,0.2942391304347826,0.8522826086956521,0.00239130434782609,-0.14130434782608695,-0.10717391304347826,-46.64467391304348,18.6125,-9.385,1.0,7.0,9.0
147,4,6,33.91514005940594,9.528712871287128,0.5306930693069307,-0.42306930693069306,-0.008415841584158413,-0.10336633663366336,-0.09584158415841584,-50.21168316831683,15.997029702970298,-2.1623762376237625,0.0,3.0,15.0
148,4,7,37.574479857142855,9.567380952380953,0.5022619047619047,0.4138095238095238,0.02619047619047619,-0.2422619047619048,-0.21000000000000002,-48.554880952380955,19.289404761904763,-5.970357142857143,0.0,3.0,11.0
149,4,8,41.98884053465347,9.185445544554456,0.367029702970297,0.03237623762376236,0.00683168316831683,-0.11405940594059405,-0.13920792079207922,-50.69653465346535,17.989108910891087,-3.2767326732673268,0.0,3.0,17.0
150,4,9,45.7439067826087,9.581739130434782,0.7421739130434782,0.3066304347826087,-0.013695652173913043,-0.08630434782608695,-0.14228260869565218,-51.64434782608696,16.257717391304347,-6.054673913043478,0.0,3.0,9.0
151,5,1,2.459096641025641,9.627948717948717,0.3006837606837607,0.3081196581196581,0.0805982905982906,-0.041965811965811964,-0.08538461538461539,-44.619572649572646,17.351196581196582,-4.068803418803419,0.0,9.0,17.0
