t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
71.146026,-0.25,0.28,-9.85,0.0,0.0,0.07,-7.06,-12.68,39.25
71.168631,-0.25,0.28,-9.81,0.0,0.0,0.04,-7.06,-12.68,39.25
71.1909,-0.24,0.24,-9.82,0.0,0.0,0.0,-8.18,-13.0,37.68
71.213531,-0.24,0.26,-9.8,0.0,0.0,0.04,-8.18,-13.0,37.68
71.235445,-0.28,0.28,-9.73,0.0,0.0,0.08,-8.18,-13.0,37.68
71.257533,-0.21,0.3,-9.89,0.0,0.0,0.05,-8.18,-12.68,37.68
71.281165,-0.22,0.26,-9.86,0.0,0.0,0.04,-8.18,-12.68,37.68
71.303709,-0.33,0.28,-9.85,0.0,0.0,0.01,-7.37,-12.68,37.68
71.326168,-0.28,0.26,-9.73,0.0,0.0,0.01,-7.37,-12.68,37.68
71.348771,-0.21,0.26,-9.78,0.0,0.0,0.08,-7.37,-12.68,37.68
71.37088,-0.16,0.34,-9.84,0.0,0.0,0.12,-8.56,-11.87,37.25
71.393703,0.0,0.27,-9.86,0.0,0.0,0.19,-8.56,-11.87,37.25
71.416523,0.83,0.8,-9.9,0.07,0.0,0.38,-7.37,-12.25,38.87
71.438532,0.08,0.75,-9.91,0.15,0.0,0.42,-7.37,-12.25,38.87
71.461201,0.09,0.74,-9.08,0.1,-0.02,0.43,-7.75,-12.25,38.06
71.483737,0.87,1.98,-9.75,0.0,0.01,0.58,-7.75,-12.25,38.06
71.506129,1.18,2.5,-9.92,-0.01,0.0,0.49,-7.75,-12.25,38.06
71.528723,2.04,3.42,-9.98,-0.01,0.0,0.29,-9.25,-11.18,37.25
71.550911,2.29,3.16,-9.72,-0.12,-0.01,0.05,-9.25,-11.18,37.25
71.573645,1.28,2.06,-10.02,-0.09,0.0,-0.34,-8.87,-11.5,38.06
71.596208,0.16,0.94,-9.71,-0.03,0.0,-0.51,-8.87,-11.5,38.06
71.618716,-0.88,-0.08,-9.67,0.01,0.0,-0.48,-8.87,-11.5,38.06
71.641093,-1.65,-0.64,-10.05,0.02,-0.01,-0.42,-9.25,-11.5,39.25
71.663706,-1.61,-0.25,-9.77,-0.04,0.01,-0.52,-9.25,-11.5,39.25
71.686416,-2.2,-1.26,-10.53,0.06,0.0,-0.65,-8.18,-11.87,38.5
71.70866,-1.28,-1.66,-9.68,-0.02,-0.01,-0.56,-8.18,-11.87,38.5
71.730999,-2.13,-3.15,-9.8,0.0,0.0,-0.42,-8.18,-11.87,38.5
71.75374,-1.32,-3.2,-9.81,-0.02,0.01,-0.2,-8.18,-11.5,38.5
71.776327,0.36,-1.99,-9.61,-0.04,0.0,0.04,-8.18,-11.5,38.5
71.799009,1.17,-1.66,-9.99,-0.09,0.01,0.1,-8.18,-11.5,38.5
71.820907,2.12,-1.71,-9.91,-0.01,0.0,-0.12,-7.37,-11.87,37.25
71.843613,1.85,-2.06,-9.58,0.01,0.01,-0.1,-7.37,-11.87,37.25
71.866107,1.85,-2.33,-9.94,0.0,-0.01,-0.17,-7.75,-11.87,37.68
71.888642,2.65,-1.92,-10.24,0.03,-0.03,-0.09,-7.75,-11.87,37.68
71.911123,2.11,-1.66,-10.89,0.04,-0.02,-0.06,-7.75,-11.87,37.68
71.933665,1.37,-1.02,-9.78,0.0,0.0,-0.1,-7.37,-12.25,38.06
71.956402,-0.63,1.77,-9.42,0.0,0.02,-0.55,-7.75,-11.87,38.06
71.979507,-1.98,2.52,-9.33,-0.01,0.03,-0.35,-7.75,-12.68,38.5
72.00106,-4.4,3.31,-10.58,0.0,-0.02,-0.24,-7.75,-12.68,38.5
72.023586,-5.32,3.32,-10.21,0.0,0.0,-0.21,-8.18,-12.25,39.68
72.046124,-5.69,2.15,-9.93,0.0,0.0,-0.25,-8.18,-12.25,39.68
72.068759,-4.3,1.6,-9.68,0.02,-0.04,-0.22,-8.18,-12.25,39.68
72.091188,-6.09,2.97,-8.67,0.14,0.0,-0.08,-8.87,-12.68,39.68
72.113635,-6.19,-0.48,-9.91,-0.12,0.04,0.29,-8.87,-12.68,39.68
72.136409,-6.77,-2.0,-10.07,-0.01,0.0,0.58,-9.18,-12.25,39.25
72.158613,-4.87,-2.4,-9.83,0.14,-0.04,0.77,-9.18,-12.25,39.25
72.181156,-1.76,-2.21,-9.81,0.22,-0.03,0.84,-9.18,-12.25,39.25
72.20362,-0.56,-3.15,-9.86,-0.11,0.0,1.32,-7.68,-12.25,39.68
72.226942,1.3,-3.21,-10.19,-0.12,0.01,1.36,-7.68,-12.25,39.68
72.248712,1.11,-3.41,-10.3,-0.06,0.0,1.33,-9.56,-11.87,39.25
72.270812,2.29,-3.06,-10.08,0.0,0.0,1.49,-9.56,-11.87,39.25
72.293491,3.28,-2.74,-9.69,0.01,-0.02,1.36,-9.56,-11.87,39.25
72.316349,4.12,-2.09,-10.01,0.05,-0.01,1.28,-9.56,-12.25,37.68
72.339231,3.95,-1.61,-10.02,0.21,0.0,1.13,-9.56,-12.25,37.68
