t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
96.032109,-0.18,0.07,-9.86,0.0,0.0,0.0,-11.18,74.5,46.37
96.06726,-0.28,0.08,-9.89,0.0,0.0,0.0,-11.56,74.87,45.25
96.087799,-0.4,0.14,-9.84,0.0,0.0,0.0,-11.18,74.5,45.56
96.109366,0.04,0.13,-9.86,0.0,0.0,0.0,-11.18,74.5,45.56
96.132261,0.06,0.07,-9.91,0.0,0.0,0.0,-11.18,74.5,45.56
96.156299,-0.35,0.04,-9.93,0.0,0.0,0.0,-10.75,75.25,47.18
96.178621,-0.37,0.03,-9.91,0.0,0.0,0.0,-10.75,75.25,47.18
96.201202,-0.13,0.03,-9.89,0.0,0.0,0.0,-12.0,75.25,46.0
96.223903,-0.26,0.11,-9.91,0.0,0.0,0.0,-12.0,75.25,46.0
96.246063,-0.13,0.15,-9.86,0.0,0.0,0.0,-12.0,75.25,46.0
96.268687,-0.02,0.12,-9.86,0.0,0.0,0.0,-12.0,75.25,44.75
96.291303,-0.32,0.08,-9.9,0.0,0.0,0.0,-12.0,75.25,44.75
96.313494,-0.22,0.0,-9.86,0.0,0.0,0.0,-10.75,74.87,46.75
96.336227,-0.15,0.0,-9.92,0.0,0.0,0.0,-10.75,74.87,46.75
96.357856,-0.16,0.1,-9.86,0.0,0.0,0.0,-10.75,74.87,46.75
96.380895,-0.2,0.13,-9.88,0.0,0.0,0.0,-11.56,75.25,46.75
96.40293,-0.27,0.14,-9.86,0.0,0.0,0.0,-11.56,75.25,46.75
96.425481,-0.84,0.28,-9.85,0.0,0.0,-0.12,-11.18,74.5,45.25
96.44882,-0.35,0.32,-9.9,0.0,0.0,-0.22,-11.18,74.5,45.25
96.471171,0.35,0.48,-9.85,0.0,-0.01,-0.44,-11.18,74.5,45.25
96.493411,-0.04,1.91,-9.65,0.02,0.02,0.43,-12.0,74.87,48.0
96.515467,-1.28,1.42,-10.05,-0.09,0.0,0.8,-12.0,74.87,48.0
96.549184,-0.91,1.25,-10.06,-0.01,0.02,1.1,-13.56,75.68,52.75
96.572081,-1.82,0.31,-9.65,-0.03,0.0,1.31,-13.56,75.68,52.75
96.595262,-2.64,-0.53,-10.01,0.0,0.0,1.66,-12.75,73.5,66.56
96.61748,-2.72,-2.0,-9.52,0.05,0.01,1.56,-12.75,73.5,66.56
96.650513,-2.18,-4.62,-9.67,0.03,0.04,1.21,-12.75,73.5,66.56
96.673508,-1.55,-3.7,-9.64,0.0,0.0,0.65,-6.37,68.18,81.5
96.705645,-2.22,-3.89,-9.66,-0.11,0.0,0.34,-6.37,68.18,81.5
96.729717,-2.8,-4.25,-10.18,-0.04,-0.03,-0.12,3.56,60.75,84.68
96.752687,-2.74,-3.46,-9.81,0.03,0.0,-0.56,3.56,60.75,84.68
96.774872,-2.24,-2.34,-10.45,0.0,0.01,-0.82,3.56,60.75,84.68
96.797426,-1.64,-1.26,-9.88,0.0,-0.07,-0.9,14.68,58.68,72.25
96.820076,-1.9,1.13,-9.66,0.01,0.0,-1.38,10.68,60.87,43.0
96.842451,-1.94,1.42,-9.56,-0.04,-0.05,-1.43,-5.5,50.87,20.75
96.864967,-2.8,1.4,-9.3,0.06,0.0,-1.47,-5.5,50.87,20.75
96.898706,-1.12,2.9,-10.24,0.06,0.0,-1.63,-7.75,36.75,11.06
96.920254,-0.74,3.8,-9.98,0.03,-0.05,-1.63,-7.75,36.75,11.06
96.942909,1.4,5.63,-10.28,0.01,0.01,-1.38,-7.75,36.75,11.06
96.976541,1.24,5.22,-9.8,0.04,0.01,-1.0,-4.25,24.68,-8.56
97.010601,2.42,4.91,-10.43,0.02,0.0,-0.81,-4.25,24.68,-8.56
97.032673,2.24,4.43,-10.03,0.05,-0.02,-0.75,-7.0,8.25,-19.68
97.055712,3.8,5.36,-10.13,0.03,-0.02,-0.57,-7.0,8.25,-19.68
97.077822,4.98,4.94,-10.02,0.02,-0.04,-0.1,-7.0,8.25,-19.68
97.100296,4.62,3.91,-10.18,0.0,0.0,0.43,-12.06,12.75,-25.56
97.122816,1.28,-5.13,-9.89,0.0,-0.01,2.04,-19.56,36.18,-19.68
97.145314,1.99,-4.38,-10.11,0.01,0.03,1.63,-18.5,50.25,5.25
97.167817,-0.87,-5.47,-9.14,0.17,0.05,1.34,-18.5,50.25,5.25
97.190188,-1.17,-4.78,-9.56,0.01,0.02,0.74,-12.5,48.75,18.18
97.212563,0.0,-4.67,-9.94,0.0,0.0,0.23,-12.5,48.75,18.18
97.235826,-1.14,-4.87,-9.72,-0.07,-0.03,-0.17,-12.5,48.75,18.18
97.257792,-1.45,-5.42,-10.44,-0.11,-0.02,-0.73,-8.06,46.87,22.56
97.280272,-0.5,-4.32,-10.29,-0.06,-0.02,-1.21,-8.06,46.87,22.56
97.302885,-1.75,-0.98,-9.71,0.21,0.07,-1.42,-6.18,45.37,23.37
97.325071,-0.28,-0.36,-9.97,0.0,-0.01,-1.63,-6.18,45.37,23.37
97.359107,-0.79,0.85,-10.01,-0.04,-0.01,-1.48,-6.18,45.37,23.37
97.381601,0.36,0.57,-9.76,-0.01,-0.02,-1.54,-9.68,46.5,18.75
97.40401,0.36,1.86,-10.74,0.01,0.01,-1.41,-9.68,46.5,18.75
97.43769,-0.39,2.71,-9.89,0.0,-0.01,-1.26,-13.75,40.56,11.68
97.460398,0.3,2.02,-10.5,-0.08,-0.03,-1.17,-13.75,40.56,11.68
97.48298,0.14,3.17,-9.94,0.01,0.02,-0.99,-13.75,40.56,11.68
97.505543,-1.95,2.31,-10.07,-0.03,-0.01,0.6,-23.18,25.75,11.0
97.527882,-2.06,2.49,-9.89,-0.04,0.0,1.06,-25.06,23.68,4.68
97.550328,-2.69,1.61,-9.39,0.0,0.01,1.46,-25.06,23.68,4.68
97.572859,-2.62,1.79,-10.07,-0.02,0.03,1.75,-22.87,31.0,-0.06
97.595305,-3.22,-0.21,-10.02,-0.06,0.01,1.72,-22.87,31.0,-0.06
97.617814,-2.69,-1.07,-9.96,0.03,0.04,1.81,-22.87,31.0,-0.06
97.640236,-2.42,-1.11,-10.39,0.0,-0.01,2.23,-16.56,44.0,2.68
97.662885,-3.24,-3.92,-9.67,-0.01,-0.01,2.05,-16.56,44.0,2.68
97.685398,-2.14,-3.82,-10.19,0.08,0.01,1.49,-15.5,65.5,19.18
97.707978,-1.37,-3.92,-9.98,0.0,0.01,0.42,-15.5,65.5,19.18
97.730587,-0.98,-2.24,-9.44,-0.01,-0.01,-0.11,-15.5,65.5,19.18
97.752815,-1.03,-1.35,-9.67,0.0,0.0,-0.28,-14.25,76.06,43.68
97.77573,0.12,-0.85,-9.81,0.0,0.0,-0.36,-14.25,76.06,43.68
